

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2031.005                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :14-Dec-2021
                         time          :09:58:13
 Project number                        :20024805
 Date of testing                       :13-Dec-2021
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2031
 Penetrometer                          :F7.5CKE2HAW2/B/3284
 Serial no                             :1701-3284

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   2968.38     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   2969.33     0.0017                0.0006     0.0002     0.0019                0.3200     0.0015     0.1037
    3    0.040   3268.42     0.0048                0.0009     0.0004     0.0055                0.6400     0.0049     0.2387
    4    0.060   3269.40     0.0026     0.0001     0.0014     0.0006     0.0030     4.9592     0.9600     0.0021     0.1899
    5    0.080   3270.36     0.0094     0.0002     0.0031     0.0008     0.0105     2.3748     1.2800     0.0092     0.1957
    6    0.100   3271.35     0.0040     0.0006     0.0047     0.0010     0.0057     9.3607     1.6000     0.0041     0.7899
    7    0.120   3272.34     0.0063     0.0011     0.0061     0.0012     0.0087    16.3465     1.9200     0.0068     0.6604
    8    0.140   3273.32     0.0088     0.0008     0.0070     0.0014     0.0117     7.6953     2.2400     0.0094     0.5931
    9    0.160   3274.29     0.0060     0.0013     0.0077     0.0016     0.0092    22.0373     2.5600     0.0067     0.9194
   10    0.180   3275.24     0.0072     0.0007     0.0078     0.0018     0.0104     9.0870     2.8800     0.0076     0.7903
   11    0.200   3306.47     0.0075     0.0007     0.0080     0.0020     0.0108    10.0903     3.2000     0.0076     0.7834
   12    0.220   3344.41     0.0081     0.0009     0.0083     0.0022     0.0115    13.3364     3.5200     0.0080     0.7481
   13    0.240   3364.40     0.0058     0.0007     0.0090     0.0024     0.0096    10.0372     3.8400     0.0058     1.1499
   14    0.260   3365.39     0.0080     0.0008     0.0097     0.0026     0.0120     7.1966     4.1600     0.0078     0.8894
   15    0.280   3366.37     0.0090     0.0008     0.0105     0.0028     0.0134    13.3357     4.4800     0.0089     0.8951
   16    0.300   3367.32     0.0102     0.0004     0.0111     0.0030     0.0147     4.1882     4.8000     0.0099     0.7869
   17    0.320   3368.28     0.0090     0.0011     0.0112     0.0032     0.0137     8.2169     5.1200     0.0086     1.0204
   18    0.340   3369.25     0.0100     0.0006     0.0112     0.0034     0.0147     5.3677     5.4400     0.0093     0.8393
   19    0.360   3370.20     0.0070     0.0003     0.0114     0.0036     0.0118     3.4012     5.7600     0.0061     1.5778
   20    0.380   3371.18     0.0131     0.0009     0.0114     0.0038     0.0179     7.0119     6.0800     0.0118     0.6526
   21    0.400   3372.10     0.0100     0.0007     0.0108     0.0040     0.0146     9.0554     6.4000     0.0082     1.0601
   22    0.420   3373.09     0.0081     0.0005     0.0112     0.0042     0.0127     5.9990     6.7200     0.0060     1.1797
   23    0.440   3374.07     0.0124     0.0003     0.0113     0.0044     0.0171     2.8344     7.0400     0.0101     0.6786
   24    0.460   3375.01     0.0204     0.0003     0.0120     0.0046     0.0253     1.7151     7.3600     0.0180     0.3988
   25    0.480   3375.98     0.0173     0.0006     0.0118     0.0048     0.0222     3.5239     7.6800     0.0145     0.4768
   26    0.500   3376.94     0.0169     0.0011     0.0118     0.0050     0.0219     6.3393     8.0000     0.0139     0.4969
   27    0.520   3377.90     0.0190     0.0011     0.0117     0.0052     0.0239     6.1389     8.3200     0.0156     0.4117
   28    0.540   3378.89     0.0211     0.0015     0.0116     0.0054     0.0262     7.6076     8.6400     0.0175     0.3743
   29    0.560   3379.85     0.0236     0.0009     0.0112     0.0056     0.0284     4.3463     8.9600     0.0194     0.3010
   30    0.580   3393.93     0.0228     0.0010     0.0109     0.0058     0.0274     4.5252     9.2800     0.0182     0.2824
   31    0.600   3426.63     0.0238     0.0013     0.0108     0.0060     0.0283     5.9295     9.6000     0.0187     0.2589
   32    0.620   3453.62     0.0267     0.0010     0.0111     0.0062     0.0312     4.2440     9.9200     0.0213     0.2228
   33    0.640   3454.61     0.0267     0.0010     0.0115     0.0064     0.0313     3.6036    10.2400     0.0211     0.2216
   34    0.660   3455.60     0.0260     0.0009     0.0115     0.0066     0.0308     3.7139    10.5600     0.0203     0.2399
   35    0.680   3456.58     0.0284     0.0007     0.0122     0.0068     0.0334     2.4647    10.8800     0.0225     0.2249
   36    0.700   3457.54     0.0305     0.0008     0.0128     0.0070     0.0358     2.7292    11.2000     0.0246     0.2279
   37    0.720   3458.51     0.0273     0.0009     0.0137     0.0072     0.0329     3.1283    11.5200     0.0214     0.2967
   38    0.740   3459.48     0.0286     0.0011     0.0149     0.0074     0.0346     4.0820    11.8400     0.0227     0.3049
   39    0.760   3460.44     0.0295     0.0002     0.0146     0.0076     0.0356     0.7962    12.1600     0.0235     0.2976
   40    0.780   3461.43     0.0273     0.0005     0.0147     0.0078     0.0335     1.7749    12.4800     0.0210     0.3286
   41    0.800   3462.36     0.0298     0.0011     0.0150     0.0080     0.0360     3.8893    12.8000     0.0232     0.2954
   42    0.820   3463.32     0.0280     0.0017     0.0153     0.0082     0.0343     6.0036    13.1200     0.0212     0.3303
   43    0.840   3464.28     0.0234     0.0019     0.0153     0.0084     0.0298     7.8623    13.4400     0.0163     0.4225
   44    0.860   3465.28     0.0289     0.0016     0.0155     0.0086     0.0353     5.7801    13.7600     0.0216     0.3147
   45    0.880   3472.33     0.0329     0.0018     0.0161     0.0088     0.0396     5.3102    14.0800     0.0255     0.2807
   46    0.900   3491.98     0.0310     0.0015     0.0167     0.0090     0.0379     4.4258    14.4000     0.0235     0.3276
   47    0.920   3511.63     0.0290     0.0019     0.0173     0.0092     0.0362     5.7967    14.7200     0.0215     0.3745
   48    0.940   3525.72     0.0274     0.0014     0.0178     0.0094     0.0348     5.0879    15.0400     0.0198     0.4129
   49    0.960   3526.68     0.0294     0.0019     0.0187     0.0096     0.0372     6.4424    15.3600     0.0218     0.4096
   50    0.980   3527.64     0.0317     0.0014     0.0192     0.0098     0.0396     4.4779    15.6800     0.0239     0.3819
   51    1.000   3528.63     0.0320     0.0012     0.0196     0.0100     0.0402     3.6612    16.0000     0.0242     0.3870
   52    1.020   3529.58     0.0292     0.0015     0.0201     0.0102     0.0375     4.8150    16.3200     0.0212     0.4558
   53    1.040   3530.53     0.0309     0.0016     0.0206     0.0104     0.0394     5.4336    16.6400     0.0228     0.4413
   54    1.060   3531.53     0.0278     0.0012     0.0210     0.0106     0.0365     3.9001    16.9600     0.0196     0.5224
   55    1.080   3532.43     0.0300     0.0014     0.0210     0.0108     0.0389     4.8205    17.2800     0.0216     0.4794
   56    1.100   3533.40     0.0343     0.0014     0.0211     0.0110     0.0431     4.2046    17.6000     0.0255     0.3902
   57    1.120   3534.42     0.0336     0.0013     0.0216     0.0112     0.0426     3.9170    17.9200     0.0247     0.4160
   58    1.140   3535.40     0.0299     0.0014     0.0220     0.0114     0.0391     5.0595    18.2400     0.0208     0.5044
   59    1.160   3536.34     0.0310     0.0016     0.0218     0.0116     0.0402     6.0991    18.5600     0.0216     0.4806
   60    1.180   3537.33     0.0296     0.0012     0.0225     0.0118     0.0390     4.1289    18.8800     0.0201     0.5200
   61    1.200   3538.29     0.0296     0.0014     0.0235     0.0120     0.0393     4.7529    19.2000     0.0201     0.5531
   62    1.220   3539.22     0.0312     0.0009     0.0244     0.0122     0.0413     2.8054    19.5200     0.0218     0.5459
   63    1.240   3540.21     0.0282     0.0013     0.0256     0.0124     0.0387     4.7276    19.8400     0.0189     0.6774
   64    1.260   3541.16     0.0270     0.0013     0.0264     0.0126     0.0380     4.5053    20.1600     0.0178     0.7624
   65    1.280   3542.12     0.0289     0.0014     0.0266     0.0128     0.0400     5.1496    20.4800     0.0196     0.7036
   66    1.300   3543.07     0.0303     0.0010     0.0268     0.0130     0.0415     3.2293    20.8000     0.0207     0.6733
   67    1.320   3544.03     0.0279     0.0014     0.0269     0.0132     0.0393     5.1078    21.1200     0.0182     0.7675
   68    1.340   3544.99     0.0295     0.0015     0.0270     0.0134     0.0408     5.1139    21.4400     0.0194     0.7015
   69    1.360   3545.99     0.0305     0.0011     0.0273     0.0136     0.0418     3.5841    21.7600     0.0201     0.6689
   70    1.380   3546.95     0.0251     0.0014     0.0279     0.0138     0.0367     5.0840    22.0800     0.0146     0.9466
   71    1.400   3547.91     0.0356     0.0012     0.0284     0.0140     0.0474     3.8776    22.4000     0.0250     0.5639
   72    1.420   3548.87     0.0317     0.0016     0.0291     0.0142     0.0438     5.2362    22.7200     0.0211     0.6996
   73    1.440   3549.81     0.0284     0.0016     0.0295     0.0144     0.0408     5.7293    23.0400     0.0178     0.8486
   74    1.460   3550.78     0.0329     0.0014     0.0294     0.0146     0.0452     4.6009    23.3600     0.0219     0.6778
   75    1.480   3551.72     0.0314     0.0013     0.0293     0.0148     0.0438     3.8601    23.6800     0.0201     0.7319
   76    1.500   3552.66     0.0332     0.0019     0.0293     0.0150     0.0455     6.0146    24.0000     0.0215     0.6658
   77    1.520   3553.64     0.0299     0.0012     0.0297     0.0152     0.0422     3.7235    24.3200     0.0179     0.7986
