

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1023(S).000                         
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :24-May-2022
                         time          :16:07:24
 Project number                        :20024805                                                                                            
 Date of testing                       :24-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1023(S)
 Penetrometer                          :F7.5CKE2X3S\B\2753
 Serial no                             :1701-2753

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1462.00     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1463.19     0.0030               -0.0009     0.0002     0.0027                0.3200     0.0024    -0.3799
    3    0.040   1464.33     0.0034               -0.0013     0.0004     0.0029                0.6400     0.0023    -0.7033
    4    0.060   1465.40     0.0039     0.0005    -0.0013     0.0006     0.0033    13.0219     0.9600     0.0023    -0.8865
    5    0.080   1466.45     0.0042     0.0006    -0.0011     0.0008     0.0034    14.6883     1.2800     0.0022    -1.1780
    6    0.100   1467.50     0.0038     0.0006     0.0000     0.0010     0.0037    14.8218     1.6000     0.0021    -0.5552
    7    0.120   1468.50     0.0043     0.0006     0.0006     0.0012     0.0044    14.3619     1.9200     0.0025    -0.3554
    8    0.140   1469.50     0.0051     0.0007     0.0012     0.0014     0.0056    13.7195     2.2400     0.0034    -0.0437
    9    0.160   1470.50     0.0057     0.0008     0.0013     0.0016     0.0061    13.3592     2.5600     0.0035    -0.1590
   10    0.180   1471.55     0.0079     0.0008     0.0010     0.0018     0.0082    10.6690     2.8800     0.0053    -0.2004
   11    0.200   1472.55     0.0088     0.0008    -0.0010     0.0020     0.0087     9.6529     3.2000     0.0055    -0.4179
   12    0.220   1473.55     0.0087     0.0009     0.0000     0.0022     0.0087    10.4931     3.5200     0.0052    -0.4030
   13    0.240   1474.56     0.0081     0.0010     0.0009     0.0024     0.0085    12.1997     3.8400     0.0046    -0.3584
   14    0.260   1475.55     0.0081     0.0010     0.0007     0.0026     0.0085    12.5502     4.1600     0.0043    -0.3929
   15    0.280   1476.56     0.0085     0.0011     0.0009     0.0028     0.0089    12.3239     4.4800     0.0044    -0.4042
   16    0.300   1477.56     0.0088     0.0011     0.0005     0.0030     0.0094    12.8527     4.8000     0.0046    -0.3924
   17    0.320   1478.56     0.0082     0.0010     0.0010     0.0032     0.0089    12.2980     5.1200     0.0038    -0.4483
   18    0.340   1479.56     0.0094     0.0011     0.0026     0.0034     0.0100    12.0588     5.4400     0.0046    -0.4131
   19    0.360   1480.56     0.0101     0.0011     0.0050     0.0036     0.0121    11.4201     5.7600     0.0064     0.1881
   20    0.380   1481.56     0.0110     0.0012     0.0049     0.0038     0.0128    10.7564     6.0800     0.0068     0.0761
   21    0.400   1482.55     0.0127     0.0012     0.0045     0.0040     0.0149     9.6616     6.4000     0.0085     0.1568
   22    0.420   1483.51     0.0137     0.0013     0.0026     0.0042     0.0147     9.3188     6.7200     0.0080    -0.2082
   23    0.440   1484.51     0.0144     0.0014     0.0023     0.0044     0.0156     9.8727     7.0400     0.0085    -0.1858
   24    0.460   1485.51     0.0160     0.0014     0.0027     0.0046     0.0171     9.0617     7.3600     0.0097    -0.2093
   25    0.480   1486.55     0.0197     0.0015     0.0025     0.0048     0.0205     8.0775     7.6800     0.0128    -0.2265
   26    0.500   1487.51     0.0220     0.0016     0.0046     0.0050     0.0236     7.6077     8.0000     0.0156    -0.0674
   27    0.520   1488.51     0.0217     0.0017     0.0032     0.0052     0.0237     7.8848     8.3200     0.0153    -0.0389
   28    0.540   1489.51     0.0186     0.0016     0.0014     0.0054     0.0195     8.2626     8.6400     0.0108    -0.3145
   29    0.560   1490.51     0.0139     0.0016     0.0003     0.0056     0.0145    10.7247     8.9600     0.0055    -0.7892
   30    0.580   1491.46     0.0102     0.0016     0.0011     0.0058     0.0100    14.5507     9.2800     0.0007   -12.9010
   31    0.600   1492.46     0.0078     0.0015     0.0055     0.0060     0.0099    19.1587     9.6000     0.0003    -2.8224
   32    0.620   1493.46     0.0069     0.0015     0.0072     0.0062     0.0096    21.2292     9.9200    -0.0003    -0.5414
   33    0.640   1494.46     0.0079     0.0015     0.0078     0.0064     0.0111    19.4711    10.2400     0.0009     1.8381
   34    0.660   1495.46     0.0086     0.0016     0.0060     0.0066     0.0119    18.0758    10.5600     0.0013     0.8371
   35    0.680   1496.46     0.0083     0.0016     0.0070     0.0068     0.0108    19.1972    10.8800    -0.0001           
   36    0.700   1497.46     0.0077     0.0017     0.0081     0.0070     0.0111    22.1404    11.2000    -0.0001           
   37    0.720   1498.46     0.0072     0.0017     0.0088     0.0072     0.0108    23.3288    11.5200    -0.0007    -1.8151
   38    0.740   1499.46     0.0068     0.0017     0.0096     0.0074     0.0108    24.3331    11.8400    -0.0010    -2.0101
   39    0.760   1500.46     0.0090     0.0018     0.0101     0.0076     0.0132    22.3178    12.1600     0.0010     1.5534
   40    0.780   1501.46     0.0114     0.0019     0.0097     0.0078     0.0158    18.9449    12.4800     0.0033     0.7984
   41    0.800   1502.46     0.0119     0.0020     0.0086     0.0080     0.0163    16.2843    12.8000     0.0035     0.6604
   42    0.820   1503.42     0.0128     0.0019     0.0087     0.0082     0.0162    15.8620    13.1200     0.0031    -0.0506
   43    0.840   1504.42     0.0155     0.0020     0.0077     0.0084     0.0194    13.4404    13.4400     0.0059     0.1281
   44    0.860   1506.57     0.0159     0.0020     0.0072     0.0086     0.0187    12.4893    13.7600     0.0050    -0.3314
   45    0.880   1510.34     0.0149     0.0021     0.0083     0.0088     0.0182    12.6081    14.0800     0.0041    -0.1391
   46    0.900   1514.12     0.0139     0.0021     0.0092     0.0090     0.0177    13.3635    14.4000     0.0033     0.0532
   47    0.920   1515.77     0.0128     0.0020     0.0089     0.0092     0.0165    16.2548    14.7200     0.0018    -0.1660
   48    0.940   1516.77     0.0114     0.0020     0.0084     0.0094     0.0151    16.8922    15.0400     0.0000     0.4835
   49    0.960   1517.77     0.0105     0.0021     0.0084     0.0096     0.0139    20.3111    15.3600    -0.0015     1.0726
   50    0.980   1518.77     0.0117     0.0020     0.0112     0.0098     0.0160    17.3851    15.6800     0.0003     1.4825
   51    1.000   1519.77     0.0119     0.0021     0.0127     0.0100     0.0171    17.4608    16.0000     0.0011     2.1958
   52    1.020   1520.72     0.0127     0.0020     0.0068     0.0102     0.0170    15.6872    16.3200     0.0006     2.8834
   53    1.040   1521.72     0.0143     0.0019     0.0089     0.0104     0.0172    13.6442    16.6400     0.0006     3.6757
   54    1.060   1522.72     0.0154     0.0020     0.0053     0.0106     0.0176    13.0997    16.9600     0.0006   -10.6358
   55    1.080   1523.70     0.0172     0.0020     0.0126     0.0108     0.0226    12.0092    17.2800     0.0054     0.4147
   56    1.100   1524.67     0.0174     0.0021     0.0102     0.0110     0.0224    11.6429    17.6000     0.0048     0.1393
   57    1.120   1525.67     0.0159     0.0020     0.0088     0.0112     0.0197    12.9087    17.9200     0.0018    -1.1044
   58    1.140   1526.66     0.0158     0.0021     0.0106     0.0114     0.0197    13.2676    18.2400     0.0014    -1.6048
   59    1.160   1527.62     0.0129     0.0022     0.0129     0.0116     0.0182    16.1230    18.5600    -0.0004           
   60    1.180   1528.62     0.0101     0.0021     0.0115     0.0118     0.0152    21.2297    18.8800    -0.0037    -0.0680
   61    1.200   1529.62     0.0104     0.0022     0.0151     0.0120     0.0160    20.9911    19.2000    -0.0032    -0.5276
   62    1.220   1530.62     0.0116     0.0021     0.0166     0.0122     0.0186    18.5298    19.5200    -0.0009    -5.5672
   63    1.240   1531.61     0.0137     0.0020     0.0179     0.0124     0.0210    14.7655    19.8400     0.0012     4.1918
   64    1.260   1532.57     0.0149     0.0021     0.0193     0.0126     0.0228    14.1738    20.1600     0.0026     2.3910
   65    1.280   1533.57     0.0149     0.0021     0.0198     0.0128     0.0234    14.2267    20.4800     0.0029     2.5428
   66    1.300   1534.57     0.0160     0.0021     0.0199     0.0130     0.0234    13.0424    20.8000     0.0026     1.7904
   67    1.320   1535.57     0.0186     0.0021     0.0202     0.0132     0.0266    11.5881    21.1200     0.0055     1.0838
   68    1.340   1536.53     0.0204     0.0021     0.0208     0.0134     0.0282    10.3876    21.4400     0.0068     0.7606
   69    1.360   1537.52     0.0208     0.0021     0.0235     0.0136     0.0300     9.7646    21.7600     0.0083     1.0075
   70    1.380   1538.53     0.0208     0.0021     0.0245     0.0138     0.0313     9.9553    22.0800     0.0092     1.2152
   71    1.400   1539.52     0.0196     0.0020     0.0249     0.0140     0.0299    10.3432    22.4000     0.0075     1.4114
   72    1.420   1540.48     0.0195     0.0020     0.0257     0.0142     0.0303    10.2556    22.7200     0.0076     1.5081
   73    1.440   1541.48     0.0192     0.0021     0.0259     0.0144     0.0299    10.8315    23.0400     0.0069     1.6118
   74    1.460   1542.47     0.0193     0.0021     0.0282     0.0146     0.0307    11.0013    23.3600     0.0074     1.7018
   75    1.480   1543.43     0.0199     0.0022     0.0282     0.0148     0.0320    11.0584    23.6800     0.0083     1.6940
   76    1.500   1544.48     0.0185     0.0022     0.0272     0.0150     0.0301    11.4879    24.0000     0.0061     2.0795
   77    1.520   1545.47     0.0181     0.0021     0.0242     0.0152     0.0295    11.5890    24.3200     0.0052     2.3114
   78    1.540   1546.43     0.0174     0.0022     0.0256     0.0154     0.0279    12.3565    24.6400     0.0033     2.9200
   79    1.560   1547.43     0.0152     0.0020     0.0279     0.0156     0.0264    12.9713    24.9600     0.0015     8.1656
   80    1.580   1548.39     0.0130     0.0020     0.0260     0.0158     0.0248    14.9177    25.2800    -0.0005    -7.0167
   81    1.600   1549.38     0.0127     0.0020     0.0262     0.0160     0.0234    15.8950    25.6000    -0.0022    -4.4171
   82    1.620   1550.38     0.0131     0.0019     0.0314     0.0162     0.0254    15.1610    25.9200    -0.0005           
   83    1.640   1551.38     0.0142     0.0019     0.0333     0.0164     0.0282    13.5378    26.2400     0.0019    10.0285
   84    1.660   1552.38     0.0161     0.0018     0.0340     0.0166     0.0303    11.7074    26.5600     0.0038     4.6965
   85    1.680   1553.38     0.0207     0.0019     0.0329     0.0168     0.0347     9.7095    26.8800     0.0078     2.1678
   86    1.700   1554.38     0.0254     0.0020     0.0331     0.0170     0.0393     7.9647    27.2000     0.0121     1.3326
   87    1.720   1555.35     0.0273     0.0021     0.0313     0.0172     0.0414     7.7799    27.5200     0.0139     1.1764
   88    1.740   1556.33     0.0289     0.0023     0.0283     0.0174     0.0404     7.9395    27.8400     0.0125     0.7933
   89    1.760   1557.33     0.0288     0.0024     0.0313     0.0176     0.0412     8.1678    28.1600     0.0131     0.9121
   90    1.780   1558.33     0.0303     0.0024     0.0363     0.0178     0.0453     8.0919    28.4800     0.0168     1.0638
   91    1.800   1559.28     0.0344     0.0025     0.0370     0.0180     0.0496     7.5268    28.8000     0.0208     0.8699
   92    1.820   1560.28     0.0391     0.0025     0.0423     0.0182     0.0563     6.5229    29.1200     0.0272     0.8385
   93    1.840   1561.28     0.0443     0.0027     0.0443     0.0184     0.0626     6.1817    29.4400     0.0332     0.7620
   94    1.860   1562.26     0.0506     0.0028     0.0444     0.0186     0.0692     5.6784    29.7600     0.0395     0.6561
   95    1.880   1563.23     0.0563     0.0029     0.0427     0.0188     0.0742     5.2448    30.0800     0.0442     0.5404
   96    1.900   1564.20     0.0629     0.0029     0.0439     0.0190     0.0816     4.6441    30.4000     0.0512     0.4949
   97    1.920   1565.23     0.0642     0.0030     0.0427     0.0192     0.0819     4.6665    30.7200     0.0512     0.4512
   98    1.940   1566.18     0.0618     0.0032     0.0446     0.0194     0.0798     5.1544    31.0400     0.0487     0.4780
   99    1.960   1567.18     0.0617     0.0031     0.0479     0.0196     0.0815     5.0134    31.3600     0.0501     0.5479
  100    1.980   1568.17     0.0625     0.0030     0.0504     0.0198     0.0835     4.8414    31.6800     0.0519     0.5858
  101    2.000   1569.17     0.0646     0.0031     0.0495     0.0200     0.0849     4.7878    32.0000     0.0529     0.5358
  102    2.020   1570.15     0.0671     0.0034     0.0466     0.0202     0.0869     4.9431    32.3200     0.0546     0.4970
  103    2.040   1571.14     0.0722     0.0037     0.0509     0.0204     0.0932     5.1002    32.6400     0.0605     0.4889
  104    2.060   1572.14     0.0776     0.0038     0.0415     0.0206     0.0971     4.9839    32.9600     0.0642     0.4043
  105    2.080   1573.14     0.0790     0.0038     0.0453     0.0208     0.0977     4.7476    33.2800     0.0645     0.3705
  106    2.100   1574.12     0.0765     0.0037     0.0423     0.0210     0.0945     4.7793    33.6000     0.0609     0.3591
  107    2.120   1584.31     0.0744     0.0036     0.0415     0.0212     0.0919     4.8011    33.9200     0.0580     0.3543
  108    2.140   1601.04     0.0733     0.0036     0.0407     0.0214     0.0906     4.8389    34.2400     0.0563     0.3473
  109    2.160   1617.78     0.0723     0.0035     0.0397     0.0216     0.0892     4.8616    34.5600     0.0546     0.3402
  110    2.180   1618.99     0.0747     0.0036     0.0438     0.0218     0.0917     4.8623    34.8800     0.0568     0.3307
  111    2.200   1619.99     0.0748     0.0036     0.0492     0.0220     0.0943     4.7886    35.2000     0.0591     0.4141
  112    2.220   1620.99     0.0782     0.0036     0.0575     0.0222     0.1007     4.6057    35.5200     0.0652     0.4803
  113    2.240   1621.94     0.0785     0.0034     0.0602     0.0224     0.1037     4.3878    35.8400     0.0679     0.5546
  114    2.260   1622.99     0.0804     0.0033     0.0510     0.0226     0.1025     4.0554    36.1600     0.0664     0.4546
  115    2.280   1623.94     0.0750     0.0030     0.0550     0.0228     0.0985     4.0422    36.4800     0.0620     0.5346
  116    2.300   1624.94     0.0726     0.0029     0.0571     0.0230     0.0957     3.9502    36.8000     0.0589     0.5434
  117    2.320   1625.94     0.0695     0.0028     0.0560     0.0232     0.0944     3.9500    37.1200     0.0573     0.6288
  118    2.340   1626.94     0.0650     0.0027     0.0576     0.0234     0.0892     4.1726    37.4400     0.0518     0.6618
  119    2.360   1627.90     0.0638     0.0029     0.0550     0.0236     0.0871     4.4840    37.7600     0.0494     0.6455
  120    2.380   1628.94     0.0652     0.0031     0.0512     0.0238     0.0869     4.7791    38.0800     0.0488     0.5698
  121    2.400   1629.89     0.0661     0.0034     0.0468     0.0240     0.0867     5.1113    38.4000     0.0483     0.5208
  122    2.420   1630.89     0.0663     0.0034     0.0346     0.0242     0.0823     5.0893    38.7200     0.0436     0.3151
  123    2.440   1631.84     0.0715     0.0033     0.0320     0.0244     0.0845     4.8491    39.0400     0.0455     0.1473
  124    2.460   1632.84     0.0790     0.0035     0.0452     0.0246     0.0956     4.4136    39.3600     0.0563     0.2638
  125    2.480   1633.84     0.0828     0.0035     0.0568     0.0248     0.1058     4.2614    39.6800     0.0661     0.4502
  126    2.500   1634.79     0.0805     0.0036     0.0602     0.0250     0.1057     4.3918    40.0000     0.0657     0.5312
  127    2.520   1635.81     0.0702     0.0038     0.0568     0.0252     0.0944     5.2473    40.3200     0.0541     0.6008
  128    2.540   1636.79     0.0727     0.0036     0.0529     0.0254     0.0954     5.1619    40.6400     0.0548     0.5254
  129    2.560   1637.77     0.0829     0.0036     0.0564     0.0256     0.1058     4.4195    40.9600     0.0648     0.4456
  130    2.580   1638.77     0.0975     0.0036     0.0554     0.0258     0.1210     3.7750    41.2800     0.0797     0.3800
  131    2.600   1639.74     0.1054     0.0037     0.0503     0.0260     0.1279     3.4912    41.6000     0.0863     0.3161
  132    2.620   1640.72     0.0931     0.0039     0.0548     0.0262     0.1176     4.1569    41.9200     0.0756     0.4218
