

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2030.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :15-Dec-2021
                         time          :09:31:45
 Project number                        :20024805
 Date of testing                       :14-Dec-2021
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2030
 Penetrometer                          :F7.5CKE2HAW2/B/3284
 Serial no                             :1701-3284

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1388.88     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1389.86     0.0039               -0.0002     0.0002     0.0037                0.3200     0.0034    -0.1759
    3    0.040   1390.83     0.0035               -0.0006     0.0004     0.0032                0.6400     0.0026    -0.4289
    4    0.060   1391.77     0.0063     0.0006    -0.0009     0.0006     0.0060    20.9110     0.9600     0.0051    -0.2489
    5    0.080   1392.74     0.0075     0.0002    -0.0009     0.0008     0.0072     2.8142     1.2800     0.0059    -0.2908
    6    0.100   1393.71     0.0099     0.0005    -0.0007     0.0010     0.0095     5.3253     1.6000     0.0079    -0.2390
    7    0.120   1394.66     0.0121     0.0009     0.0004     0.0012     0.0121     7.0244     1.9200     0.0102    -0.1029
    8    0.140   1395.61     0.0159     0.0006     0.0001     0.0014     0.0161     4.2951     2.2400     0.0138    -0.0725
    9    0.160   1396.58     0.0134     0.0008     0.0009     0.0016     0.0135     6.0193     2.5600     0.0109    -0.1463
   10    0.180   1397.56     0.0168     0.0008    -0.0003     0.0018     0.0168     5.4625     2.8800     0.0140    -0.1142
   11    0.200   1398.48     0.0155     0.0009     0.0001     0.0020     0.0153     5.6067     3.2000     0.0121    -0.2177
   12    0.220   1399.49     0.0173     0.0011     0.0001     0.0022     0.0171     6.5450     3.5200     0.0136    -0.1949
   13    0.240   1400.43     0.0184     0.0012     0.0011     0.0024     0.0188     7.0307     3.8400     0.0149    -0.0975
   14    0.260   1401.38     0.0219     0.0010    -0.0011     0.0026     0.0217     4.8777     4.1600     0.0176    -0.1795
   15    0.280   1402.35     0.0176     0.0010     0.0008     0.0028     0.0176     5.4582     4.4800     0.0131    -0.2083
   16    0.300   1403.35     0.0240     0.0012     0.0014     0.0030     0.0243     5.1873     4.8000     0.0195    -0.1156
   17    0.320   1404.27     0.0238     0.0011     0.0047     0.0032     0.0254     4.8056     5.1200     0.0202     0.0226
   18    0.340   1405.28     0.0252     0.0014     0.0079     0.0034     0.0281     6.2287     5.4400     0.0227     0.1559
   19    0.360   1406.23     0.0253     0.0009     0.0058     0.0036     0.0278     3.9021     5.7600     0.0221     0.1065
   20    0.380   1407.18     0.0286     0.0013     0.0046     0.0038     0.0309     4.4162     6.0800     0.0248     0.0656
   21    0.400   1408.14     0.0363     0.0016     0.0033     0.0040     0.0379     4.4832     6.4000     0.0315    -0.0058
   22    0.420   1409.14     0.0370     0.0012     0.0020     0.0042     0.0378     3.2543     6.7200     0.0311    -0.0674
   23    0.440   1410.09     0.0324     0.0015     0.0022     0.0044     0.0333     4.2907     7.0400     0.0263    -0.0827
   24    0.460   1411.04     0.0277     0.0017     0.0004     0.0046     0.0283     5.4755     7.3600     0.0209    -0.1541
   25    0.480   1412.00     0.0294     0.0017     0.0016     0.0048     0.0303     5.8618     7.6800     0.0226    -0.1266
   26    0.500   1412.99     0.0260     0.0018     0.0004     0.0050     0.0264     6.3988     8.0000     0.0184    -0.2407
   27    0.520   1413.96     0.0233     0.0013     0.0061     0.0052     0.0261     5.6473     8.3200     0.0178     0.0804
   28    0.540   1416.97     0.0244     0.0014     0.0038     0.0054     0.0257     6.0738     8.6400     0.0171    -0.1429
   29    0.560   1439.64     0.0328     0.0013     0.0057     0.0056     0.0349     5.4405     8.9600     0.0260    -0.0589
   30    0.580   1462.32     0.0412     0.0012     0.0073     0.0058     0.0441     4.8908     9.2800     0.0348     0.0251
   31    0.600   1467.63     0.0492     0.0016     0.0068     0.0060     0.0521     3.2306     9.6000     0.0425     0.0218
   32    0.620   1468.58     0.0497     0.0014     0.0060     0.0062     0.0524     2.8334     9.9200     0.0425     0.0078
   33    0.640   1469.54     0.0477     0.0016     0.0042     0.0064     0.0499     3.2955    10.2400     0.0397    -0.0278
   34    0.660   1470.54     0.0507     0.0017     0.0072     0.0066     0.0536     3.4144    10.5600     0.0430     0.0069
   35    0.680   1471.46     0.0488     0.0018     0.0089     0.0068     0.0521     3.6805    10.8800     0.0412     0.0221
   36    0.700   1472.48     0.0474     0.0015     0.0080     0.0070     0.0515     3.1060    11.2000     0.0403     0.0728
   37    0.720   1473.42     0.0555     0.0018     0.0125     0.0072     0.0603     3.4250    11.5200     0.0488     0.0890
   38    0.740   1474.37     0.0614     0.0022     0.0145     0.0074     0.0675     3.6887    11.8400     0.0556     0.1246
   39    0.760   1475.33     0.0642     0.0027     0.0126     0.0076     0.0701     4.2578    12.1600     0.0579     0.1083
   40    0.780   1476.28     0.0692     0.0042     0.0101     0.0078     0.0743     6.2360    12.4800     0.0618     0.0713
   41    0.800   1477.27     0.0757     0.0036     0.0061     0.0080     0.0788     4.9128    12.8000     0.0660    -0.0066
   42    0.820   1478.23     0.0782     0.0082     0.0093     0.0082     0.0813    10.3814    13.1200     0.0682    -0.0103
   43    0.840   1479.22     0.0814     0.0094     0.0158     0.0084     0.0870    12.1541    13.4400     0.0736     0.0675
   44    0.860   1480.18     0.0904     0.0092     0.0184     0.0086     0.0982    11.2689    13.7600     0.0845     0.1211
   45    0.880   1481.13     0.2798     0.0085    -0.0466     0.0088     0.2723     4.5823    14.0800     0.2582    -0.0729
   46    0.900   1482.11     0.4184     0.0084    -0.1318     0.0090     0.3787     1.8245    14.4000     0.3643    -0.3163
   47    0.920   1483.08     0.1825     0.0079    -0.1023     0.0092     0.1387     3.3523    14.7200     0.1240    -1.0774
   48    0.940   1484.01     0.1244     0.0078    -0.0692     0.0094     0.0930     6.0444    15.0400     0.0780    -1.0783
   49    0.960   1485.02     0.1094     0.0051    -0.0557     0.0096     0.0844     4.5711    15.3600     0.0690    -1.0056
   50    0.980   1485.97     0.1174     0.0040    -0.0484     0.0098     0.0960     3.4796    15.6800     0.0804    -0.7570
   51    1.000   1486.94     0.1289     0.0041    -0.0422     0.0100     0.1106     3.2904    16.0000     0.0946    -0.5673
   52    1.020   1487.93     0.1410     0.0044    -0.0388     0.0102     0.1242     3.1756    16.3200     0.1079    -0.4648
   53    1.040   1488.88     0.1501     0.0056    -0.0351     0.0104     0.1350     3.8492    16.6400     0.1183    -0.3917
   54    1.060   1489.84     0.1613     0.0065    -0.0358     0.0106     0.1467     4.1158    16.9600     0.1297    -0.3511
   55    1.080   1490.79     0.1780     0.0065    -0.0353     0.0108     0.1627     3.8205    17.2800     0.1454    -0.3244
   56    1.100   1491.75     0.2028     0.0076    -0.0367     0.0110     0.1877     3.8648    17.6000     0.1701    -0.2760
   57    1.120   1492.72     0.2355     0.0095    -0.0344     0.0112     0.2200     4.2261    17.9200     0.2021    -0.2385
   58    1.140   1493.68     0.2674     0.0121    -0.0261     0.0114     0.2558     4.7077    18.2400     0.2376    -0.1646
   59    1.160   1494.65     0.3030     0.0138    -0.0262     0.0116     0.2923     4.7310    18.5600     0.2737    -0.1364
   60    1.180   1495.64     0.3059     0.0150    -0.0464     0.0118     0.2909     4.9203    18.8800     0.2720    -0.1750
   61    1.200   1496.59     0.2916     0.0169    -0.0650     0.0120     0.2646     5.6251    19.2000     0.2454    -0.3114
   62    1.220   1497.55     0.2940     0.0181    -0.0580     0.0122     0.2676     6.3567    19.5200     0.2481    -0.3035
   63    1.240   1498.49     0.3111     0.0170    -0.0494     0.0124     0.2899     5.4876    19.8400     0.2700    -0.2330
   64    1.260   1499.47     0.3168     0.0158    -0.0426     0.0126     0.2976     4.9715    20.1600     0.2775    -0.2096
   65    1.280   1500.41     0.3165     0.0150    -0.0338     0.0128     0.3018     4.7560    20.4800     0.2813    -0.1696
   66    1.300   1501.36     0.3056     0.0138    -0.0276     0.0130     0.2918     4.4883    20.8000     0.2710    -0.1695
   67    1.320   1502.36     0.2956     0.0125    -0.0228     0.0132     0.2861     4.2084    21.1200     0.2650    -0.1353
   68    1.340   1503.32     0.3141     0.0125    -0.0259     0.0134     0.3025     4.0625    21.4400     0.2811    -0.1460
   69    1.360   1504.32     0.2731     0.0130    -0.0354     0.0136     0.2596     4.5663    21.7600     0.2379    -0.1926
   70    1.380   1505.27     0.3310     0.0128    -0.0449     0.0138     0.3133     4.0616    22.0800     0.2913    -0.1919
   71    1.400   1506.23     0.3553     0.0123    -0.0494     0.0140     0.3350     3.6011    22.4000     0.3126    -0.1997
   72    1.420   1507.23     0.3229     0.0108    -0.0478     0.0142     0.3021     3.0739    22.7200     0.2794    -0.2293
   73    1.440   1508.19     0.2568     0.0095    -0.0398     0.0144     0.2383     3.3097    23.0400     0.2153    -0.2747
   74    1.460   1509.12     0.1830     0.0085    -0.0246     0.0146     0.1710     4.3300    23.3600     0.1476    -0.2930
   75    1.480   1510.14     0.1963     0.0073    -0.0190     0.0148     0.1876     3.8536    23.6800     0.1639    -0.2162
   76    1.500   1511.08     0.2040     0.0052    -0.0260     0.0150     0.1948     2.5583    24.0000     0.1708    -0.2167
   77    1.520   1512.03     0.1725     0.0044    -0.0175     0.0152     0.1639     2.3834    24.3200     0.1396    -0.2557
   78    1.540   1513.02     0.1454     0.0042    -0.0152     0.0154     0.1380     2.8156    24.6400     0.1133    -0.2931
   79    1.560   1514.01     0.1652     0.0045    -0.0095     0.0156     0.1605     2.9106    24.9600     0.1356    -0.1980
   80    1.580   1514.97     0.2104     0.0045    -0.0074     0.0158     0.2070     2.2983    25.2800     0.1817    -0.1317
   81    1.600   1515.92     0.2369     0.0046    -0.0044     0.0160     0.2349     1.9867    25.6000     0.2093    -0.0992
   82    1.620   1516.88     0.2277     0.0044    -0.0056     0.0162     0.2256     1.8838    25.9200     0.1996    -0.1067
   83    1.640   1517.86     0.2083     0.0037    -0.0040     0.0164     0.2062     1.7291    26.2400     0.1800    -0.1189
   84    1.660   1518.83     0.1893     0.0033    -0.0016     0.0166     0.1881     1.7071    26.5600     0.1615    -0.1210
   85    1.680   1519.75     0.1678     0.0036     0.0016     0.0168     0.1678     2.1031    26.8800     0.1410    -0.1178
   86    1.700   1520.76     0.1491     0.0035     0.0075     0.0170     0.1513     2.2514    27.2000     0.1241    -0.0957
   87    1.720   1521.71     0.1391     0.0031     0.0127     0.0172     0.1438     2.2035    27.5200     0.1163    -0.0511
