

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1011.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:44
 Project number                        :20024805                                                                                            
 Date of testing                       :22-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1011
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1959.13     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1960.16     0.0019                0.0004     0.0002     0.0020                0.3200     0.0017     0.0725
    3    0.040   1961.16     0.0040                0.0006     0.0004     0.0042                0.6400     0.0036     0.0239
    4    0.060   1962.13     0.0023     0.0004     0.0009     0.0006     0.0026    15.1857     0.9600     0.0017     0.1514
    5    0.080   1963.79     0.0026     0.0001     0.0011     0.0008     0.0031     7.5814     1.2800     0.0018     0.2731
    6    0.100   1966.29     0.0049     0.0002     0.0012     0.0010     0.0054     9.8739     1.6000     0.0038     0.1826
    7    0.120   1968.78     0.0072     0.0004     0.0014     0.0012     0.0077    22.7126     1.9200     0.0058     0.0920
    8    0.140   1971.19     0.0096     0.0003     0.0014     0.0014     0.0102     4.8276     2.2400     0.0079     0.0054
    9    0.160   1972.20     0.0116     0.0004     0.0011     0.0016     0.0122     3.7025     2.5600     0.0096    -0.0152
   10    0.180   1973.22     0.0145     0.0006     0.0004     0.0018     0.0147     3.9499     2.8800     0.0119    -0.1007
   11    0.200   1974.22     0.0146     0.0009     0.0000     0.0020     0.0146     6.5232     3.2000     0.0114    -0.1776
   12    0.220   1975.22     0.0135     0.0008    -0.0009     0.0022     0.0130     6.0851     3.5200     0.0095    -0.3570
   13    0.240   1976.24     0.0122     0.0009    -0.0010     0.0024     0.0118     7.5262     3.8400     0.0080    -0.4201
   14    0.260   1977.25     0.0146     0.0010    -0.0002     0.0026     0.0145     6.9233     4.1600     0.0103    -0.2884
   15    0.280   1978.20     0.0147     0.0009     0.0003     0.0028     0.0150     6.0566     4.4800     0.0105    -0.1987
   16    0.300   1979.24     0.0173     0.0009     0.0012     0.0030     0.0174     5.1199     4.8000     0.0126    -0.2253
   17    0.320   1980.23     0.0145     0.0011     0.0018     0.0032     0.0150     7.9576     5.1200     0.0099    -0.1898
   18    0.340   1981.27     0.0209     0.0011     0.0032     0.0034     0.0218     5.2223     5.4400     0.0164    -0.0747
   19    0.360   1982.25     0.0173     0.0010     0.0025     0.0036     0.0181     6.0633     5.7600     0.0124    -0.1324
   20    0.380   1983.24     0.0195     0.0012     0.0025     0.0038     0.0207     6.1196     6.0800     0.0147    -0.0587
   21    0.400   1984.25     0.0232     0.0013     0.0019     0.0040     0.0240     5.7238     6.4000     0.0176    -0.1199
   22    0.420   1985.24     0.0244     0.0014     0.0008     0.0042     0.0248     5.8053     6.7200     0.0181    -0.1797
   23    0.440   1986.27     0.0247     0.0018    -0.0011     0.0044     0.0246     7.4521     7.0400     0.0176    -0.2608
   24    0.460   1987.26     0.0241     0.0017    -0.0023     0.0046     0.0232     7.1332     7.3600     0.0158    -0.4318
   25    0.480   1988.24     0.0238     0.0014    -0.0022     0.0048     0.0230     5.8915     7.6800     0.0154    -0.4311
   26    0.500   1989.26     0.0191     0.0018    -0.0008     0.0050     0.0186     9.5016     8.0000     0.0106    -0.5785
   27    0.520   1990.24     0.0188     0.0016     0.0019     0.0052     0.0191     8.4602     8.3200     0.0108    -0.4147
   28    0.540   1991.25     0.0192     0.0014     0.0024     0.0054     0.0206     7.2542     8.6400     0.0119    -0.1850
   29    0.560   1992.27     0.0175     0.0013     0.0040     0.0056     0.0190     7.3402     8.9600     0.0100    -0.2041
   30    0.580   1993.26     0.0178     0.0009     0.0046     0.0058     0.0198     4.8847     9.2800     0.0105    -0.0994
   31    0.600   1994.26     0.0193     0.0008     0.0052     0.0060     0.0216     4.2279     9.6000     0.0120    -0.0521
   32    0.620   1995.27     0.0159     0.0011     0.0051     0.0062     0.0183     6.9907     9.9200     0.0083    -0.0634
   33    0.640   1996.28     0.0162     0.0008     0.0063     0.0064     0.0188     4.5515    10.2400     0.0086    -0.0370
   34    0.660   1997.30     0.0166     0.0007     0.0070     0.0066     0.0193     4.1650    10.5600     0.0088     0.0003
   35    0.680   1998.33     0.0179     0.0007     0.0072     0.0068     0.0208     3.9214    10.8800     0.0099     0.0095
   36    0.700   1999.34     0.0191     0.0006     0.0084     0.0070     0.0226     3.1499    11.2000     0.0114     0.0982
   37    0.720   2000.32     0.0177     0.0006     0.0085     0.0072     0.0214     3.5875    11.5200     0.0098     0.1432
   38    0.740   2001.31     0.0200     0.0008     0.0069     0.0074     0.0230     4.1356    11.8400     0.0111    -0.0297
   39    0.760   2002.31     0.0180     0.0006     0.0070     0.0076     0.0209     3.2734    12.1600     0.0087    -0.0688
   40    0.780   2003.34     0.0164     0.0007     0.0086     0.0078     0.0197     4.2037    12.4800     0.0072     0.0076
   41    0.800   2004.33     0.0169     0.0004     0.0094     0.0080     0.0208     2.5961    12.8000     0.0080     0.1400
   42    0.820   2005.32     0.0199     0.0007     0.0104     0.0082     0.0240     3.6367    13.1200     0.0109     0.1570
   43    0.840   2006.33     0.0203     0.0010     0.0095     0.0084     0.0246     4.9339    13.4400     0.0112     0.1814
   44    0.860   2007.31     0.0251     0.0009     0.0107     0.0086     0.0295     3.4769    13.7600     0.0158     0.1250
   45    0.880   2008.31     0.0302     0.0010     0.0106     0.0088     0.0344     3.1896    14.0800     0.0203     0.0516
   46    0.900   2009.31     0.0350     0.0010     0.0088     0.0090     0.0388     2.9859    14.4000     0.0244    -0.0002
   47    0.920   2010.32     0.0350     0.0015     0.0091     0.0092     0.0386     4.2028    14.7200     0.0239    -0.0239
   48    0.940   2011.35     0.0332     0.0017     0.0090     0.0094     0.0368     5.1011    15.0400     0.0217    -0.0392
   49    0.960   2012.35     0.0332     0.0016     0.0103     0.0096     0.0376     4.8774    15.3600     0.0222     0.0319
   50    0.980   2013.34     0.0323     0.0018     0.0092     0.0098     0.0363     5.9378    15.6800     0.0206    -0.0190
   51    1.000   2014.37     0.0351     0.0015     0.0107     0.0100     0.0394     4.3067    16.0000     0.0234     0.0051
   52    1.020   2015.34     0.0345     0.0015     0.0129     0.0102     0.0395     4.2850    16.3200     0.0232     0.0702
   53    1.040   2016.35     0.0350     0.0016     0.0144     0.0104     0.0410     4.5109    16.6400     0.0243     0.1511
   54    1.060   2017.36     0.0378     0.0015     0.0160     0.0106     0.0444     3.8509    16.9600     0.0275     0.1881
   55    1.080   2018.40     0.0366     0.0014     0.0173     0.0108     0.0437     3.6922    17.2800     0.0265     0.2333
   56    1.100   2019.42     0.0379     0.0014     0.0186     0.0110     0.0455     3.7984    17.6000     0.0279     0.2508
   57    1.120   2020.43     0.0376     0.0013     0.0194     0.0112     0.0457     3.3325    17.9200     0.0278     0.2928
   58    1.140   2021.43     0.0404     0.0014     0.0171     0.0114     0.0481     3.5038    18.2400     0.0298     0.2268
   59    1.160   2022.42     0.0399     0.0015     0.0160     0.0116     0.0468     3.6737    18.5600     0.0283     0.1742
   60    1.180   2023.42     0.0411     0.0014     0.0144     0.0118     0.0472     3.3889    18.8800     0.0284     0.0997
   61    1.200   2024.45     0.0371     0.0013     0.0151     0.0120     0.0433     3.4965    19.2000     0.0241     0.1142
   62    1.220   2025.45     0.0424     0.0015     0.0159     0.0122     0.0490     3.4904    19.5200     0.0295     0.1184
   63    1.240   2026.46     0.0428     0.0015     0.0167     0.0124     0.0498     3.3950    19.8400     0.0299     0.1367
   64    1.260   2027.44     0.0436     0.0015     0.0193     0.0126     0.0509     3.4961    20.1600     0.0307     0.1609
   65    1.280   2028.43     0.0452     0.0013     0.0204     0.0128     0.0537     2.8632    20.4800     0.0333     0.2249
   66    1.300   2029.43     0.0470     0.0015     0.0212     0.0130     0.0559     3.1145    20.8000     0.0351     0.2317
   67    1.320   2030.47     0.0461     0.0015     0.0203     0.0132     0.0546     3.3486    21.1200     0.0335     0.2137
   68    1.340   2031.44     0.0481     0.0016     0.0210     0.0134     0.0568     3.2874    21.4400     0.0354     0.2076
   69    1.360   2032.44     0.0469     0.0016     0.0233     0.0136     0.0562     3.3799    21.7600     0.0345     0.2513
   70    1.380   2033.45     0.0462     0.0016     0.0210     0.0138     0.0556     3.5695    22.0800     0.0335     0.2612
   71    1.400   2034.43     0.0453     0.0015     0.0208     0.0140     0.0538     3.2808    22.4000     0.0314     0.1984
   72    1.420   2035.45     0.0448     0.0016     0.0238     0.0142     0.0545     3.6178    22.7200     0.0318     0.2749
   73    1.440   2036.44     0.0445     0.0016     0.0250     0.0144     0.0549     3.7317    23.0400     0.0318     0.3238
   74    1.460   2037.45     0.0450     0.0014     0.0256     0.0146     0.0557     3.0995    23.3600     0.0323     0.3354
   75    1.480   2038.44     0.0454     0.0015     0.0256     0.0148     0.0562     3.2349    23.6800     0.0325     0.3348
   76    1.500   2039.44     0.0465     0.0012     0.0264     0.0150     0.0575     2.6296    24.0000     0.0335     0.3304
   77    1.520   2040.43     0.0465     0.0015     0.0257     0.0152     0.0574     3.2612    24.3200     0.0330     0.3242
   78    1.540   2041.43     0.0449     0.0016     0.0283     0.0154     0.0565     3.5486    24.6400     0.0319     0.3850
   79    1.560   2042.46     0.0458     0.0019     0.0277     0.0156     0.0576     4.2168    24.9600     0.0326     0.3787
   80    1.580   2043.45     0.0476     0.0020     0.0274     0.0158     0.0592     4.3073    25.2800     0.0339     0.3462
   81    1.600   2044.46     0.0480     0.0021     0.0266     0.0160     0.0594     4.3979    25.6000     0.0338     0.3252
   82    1.620   2045.46     0.0487     0.0018     0.0276     0.0162     0.0600     3.7677    25.9200     0.0341     0.3184
   83    1.640   2046.47     0.0475     0.0018     0.0283     0.0164     0.0593     3.8501    26.2400     0.0331     0.3597
   84    1.660   2051.96     0.0470     0.0017     0.0282     0.0166     0.0589     3.7103    26.5600     0.0323     0.3590
   85    1.680   2066.89     0.0478     0.0018     0.0283     0.0168     0.0596     3.9070    26.8800     0.0327     0.3501
   86    1.700   2081.82     0.0485     0.0017     0.0283     0.0170     0.0604     3.5742    27.2000     0.0332     0.3411
   87    1.720   2090.10     0.0496     0.0015     0.0283     0.0172     0.0616     3.0310    27.5200     0.0341     0.3347
   88    1.740   2091.13     0.0536     0.0017     0.0275     0.0174     0.0649     3.2137    27.8400     0.0371     0.2559
   89    1.760   2092.12     0.0565     0.0016     0.0317     0.0176     0.0693     2.8779    28.1600     0.0412     0.3138
   90    1.780   2093.11     0.0535     0.0018     0.0344     0.0178     0.0675     3.2736    28.4800     0.0391     0.4018
   91    1.800   2094.14     0.0523     0.0018     0.0347     0.0180     0.0670     3.3679    28.8000     0.0382     0.4499
   92    1.820   2095.14     0.0564     0.0018     0.0325     0.0182     0.0705     3.2054    29.1200     0.0414     0.3707
   93    1.840   2096.13     0.0643     0.0020     0.0357     0.0184     0.0785     3.2120    29.4400     0.0491     0.3163
   94    1.860   2097.11     0.0719     0.0022     0.0366     0.0186     0.0876     3.1626    29.7600     0.0578     0.3235
   95    1.880   2098.10     0.0750     0.0023     0.0361     0.0188     0.0905     3.0458    30.0800     0.0605     0.3025
   96    1.900   2099.09     0.0771     0.0018     0.0366     0.0190     0.0921     2.3145    30.4000     0.0617     0.2700
