

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1001.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:43
 Project number                        :20024805                                                                                            
 Date of testing                       :23-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1001
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1457.41     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1458.42     0.0017                0.0005     0.0002     0.0019                0.3200     0.0015     0.1603
    3    0.040   1459.40     0.0016                0.0011     0.0004     0.0020                0.6400     0.0013     0.3206
    4    0.060   1460.35     0.0015     0.0002     0.0012     0.0006     0.0020    13.2314     0.9600     0.0010     0.4703
    5    0.080   1461.35     0.0031     0.0004     0.0012     0.0008     0.0036    40.9018     1.2800     0.0023     0.3982
    6    0.100   1462.28     0.0045     0.0003     0.0012     0.0010     0.0051     9.1639     1.6000     0.0035     0.0902
    7    0.120   1463.27     0.0058     0.0004     0.0012     0.0012     0.0063     6.2915     1.9200     0.0044     0.0227
    8    0.140   1464.24     0.0055     0.0005     0.0004     0.0014     0.0057     7.3080     2.2400     0.0035    -0.3221
    9    0.160   1465.22     0.0055     0.0005     0.0010     0.0016     0.0060    16.8578     2.5600     0.0034    -0.3168
   10    0.180   1466.19     0.0027     0.0006     0.0015     0.0018     0.0033    21.9258     2.8800     0.0004    -1.4752
   11    0.200   1467.16     0.0067     0.0005     0.0013     0.0020     0.0073     9.2808     3.2000     0.0041    -0.1754
   12    0.220   1468.13     0.0101     0.0007     0.0012     0.0022     0.0106     7.4016     3.5200     0.0071    -0.1422
   13    0.240   1469.07     0.0111     0.0007     0.0009     0.0024     0.0114     6.8686     3.8400     0.0076    -0.2107
   14    0.260   1470.03     0.0135     0.0009     0.0002     0.0026     0.0136     7.6118     4.1600     0.0094    -0.2601
   15    0.280   1470.99     0.0166     0.0010    -0.0004     0.0028     0.0165     6.9618     4.4800     0.0120    -0.2484
   16    0.300   1471.99     0.0175     0.0013     0.0011     0.0030     0.0178     8.8469     4.8000     0.0130    -0.1664
   17    0.320   1472.99     0.0152     0.0016     0.0031     0.0032     0.0162    10.7320     5.1200     0.0110    -0.0936
   18    0.340   1473.94     0.0180     0.0015     0.0033     0.0034     0.0194     8.8395     5.4400     0.0139    -0.0008
   19    0.360   1474.87     0.0148     0.0016     0.0018     0.0036     0.0158     9.6711     5.7600     0.0100    -0.1403
   20    0.380   1481.96     0.0216     0.0017     0.0012     0.0038     0.0222     8.0457     6.0800     0.0161    -0.1540
   21    0.400   1497.96     0.0227     0.0017     0.0009     0.0040     0.0231     7.8307     6.4000     0.0167    -0.1777
   22    0.420   1513.95     0.0238     0.0011     0.0006     0.0042     0.0241     5.2177     6.7200     0.0174    -0.2014
   23    0.440   1523.85     0.0258     0.0017     0.0010     0.0044     0.0263     6.8648     7.0400     0.0193    -0.1677
   24    0.460   1524.83     0.0264     0.0014     0.0020     0.0046     0.0269     5.6536     7.3600     0.0196    -0.1668
   25    0.480   1525.80     0.0261     0.0015     0.0030     0.0048     0.0273     5.8528     7.6800     0.0196    -0.1044
   26    0.500   1526.76     0.0269     0.0015     0.0024     0.0050     0.0281     5.2969     8.0000     0.0201    -0.1080
   27    0.520   1527.72     0.0303     0.0019     0.0021     0.0052     0.0312     6.7451     8.3200     0.0229    -0.1324
   28    0.540   1528.70     0.0265     0.0014     0.0001     0.0054     0.0266     5.2465     8.6400     0.0179    -0.2844
   29    0.560   1529.65     0.0255     0.0016     0.0008     0.0056     0.0256     6.5737     8.9600     0.0167    -0.3288
   30    0.580   1530.63     0.0255     0.0016     0.0015     0.0058     0.0260     5.9735     9.2800     0.0167    -0.2886
   31    0.600   1531.59     0.0229     0.0018     0.0049     0.0060     0.0246     7.8321     9.6000     0.0150    -0.1270
   32    0.620   1532.57     0.0235     0.0014     0.0063     0.0062     0.0260     5.8652     9.9200     0.0160    -0.0224
   33    0.640   1533.50     0.0300     0.0013     0.0077     0.0064     0.0332     4.9310    10.2400     0.0229     0.0480
   34    0.660   1534.45     0.0259     0.0013     0.0092     0.0066     0.0296     4.7432    10.5600     0.0191     0.1177
   35    0.680   1535.48     0.0285     0.0015     0.0101     0.0068     0.0327     5.2553    10.8800     0.0218     0.1494
   36    0.700   1536.40     0.0318     0.0014     0.0084     0.0070     0.0353     4.7102    11.2000     0.0241     0.0627
   37    0.720   1537.36     0.0322     0.0013     0.0093     0.0072     0.0360     4.5844    11.5200     0.0245     0.0771
   38    0.740   1538.35     0.0334     0.0013     0.0087     0.0074     0.0373     4.2564    11.8400     0.0254     0.0730
   39    0.760   1539.31     0.0304     0.0015     0.0086     0.0076     0.0340     4.9785    12.1600     0.0218     0.0409
   40    0.780   1540.28     0.0307     0.0015     0.0090     0.0078     0.0344     4.7659    12.4800     0.0219     0.0467
   41    0.800   1541.25     0.0317     0.0014     0.0096     0.0080     0.0356     4.3551    12.8000     0.0228     0.0643
   42    0.820   1542.20     0.0329     0.0014     0.0099     0.0082     0.0369     4.2311    13.1200     0.0238     0.0595
   43    0.840   1543.20     0.0310     0.0013     0.0105     0.0084     0.0354     4.2430    13.4400     0.0220     0.0960
   44    0.860   1544.15     0.0304     0.0014     0.0105     0.0086     0.0347     4.4120    13.7600     0.0210     0.0775
   45    0.880   1545.13     0.0302     0.0012     0.0116     0.0088     0.0346     3.9928    14.0800     0.0206     0.0916
   46    0.900   1546.10     0.0281     0.0012     0.0132     0.0090     0.0334     4.4162    14.4000     0.0190     0.1968
   47    0.920   1547.08     0.0337     0.0014     0.0144     0.0092     0.0397     4.1245    14.7200     0.0250     0.2028
   48    0.940   1548.07     0.0341     0.0012     0.0137     0.0094     0.0404     3.5517    15.0400     0.0254     0.2178
   49    0.960   1549.00     0.0361     0.0013     0.0139     0.0096     0.0418     3.6212    15.3600     0.0265     0.1477
   50    0.980   1550.00     0.0377     0.0017     0.0114     0.0098     0.0426     4.5829    15.6800     0.0269     0.0716
   51    1.000   1550.98     0.0387     0.0015     0.0111     0.0100     0.0432     4.0150    16.0000     0.0272     0.0314
   52    1.020   1551.95     0.0374     0.0017     0.0121     0.0102     0.0424     4.6050    16.3200     0.0261     0.0658
   53    1.040   1552.90     0.0375     0.0015     0.0126     0.0104     0.0424     4.2234    16.6400     0.0258     0.0538
   54    1.060   1553.90     0.0352     0.0018     0.0122     0.0106     0.0403     4.9005    16.9600     0.0233     0.0621
   55    1.080   1554.85     0.0316     0.0017     0.0127     0.0108     0.0370     5.0909    17.2800     0.0197     0.1057
   56    1.100   1555.84     0.0319     0.0018     0.0130     0.0110     0.0372     5.7878    17.6000     0.0196     0.0824
   57    1.120   1556.79     0.0366     0.0017     0.0151     0.0112     0.0426     4.8180    17.9200     0.0247     0.1230
   58    1.140   1557.77     0.0404     0.0017     0.0174     0.0114     0.0474     4.5343    18.2400     0.0291     0.1753
   59    1.160   1558.74     0.0402     0.0014     0.0178     0.0116     0.0477     3.5284    18.5600     0.0292     0.2150
   60    1.180   1559.71     0.0407     0.0017     0.0182     0.0118     0.0486     4.0933    18.8800     0.0297     0.2397
   61    1.200   1560.67     0.0424     0.0017     0.0180     0.0120     0.0497     3.8950    19.2000     0.0305     0.1769
   62    1.220   1561.64     0.0455     0.0013     0.0182     0.0122     0.0528     2.8718    19.5200     0.0333     0.1583
   63    1.240   1562.60     0.0532     0.0017     0.0206     0.0124     0.0615     3.2589    19.8400     0.0417     0.1761
   64    1.260   1563.59     0.0583     0.0020     0.0219     0.0126     0.0671     3.5599    20.1600     0.0470     0.1806
   65    1.280   1564.53     0.0612     0.0021     0.0197     0.0128     0.0709     3.4202    20.4800     0.0505     0.2076
   66    1.300   1565.51     0.0617     0.0022     0.0131     0.0130     0.0677     3.6977    20.8000     0.0469     0.0304
   67    1.320   1566.49     0.0643     0.0023     0.0136     0.0132     0.0697     3.5582    21.1200     0.0485    -0.0073
   68    1.340   1567.46     0.0596     0.0026     0.0172     0.0134     0.0658     4.1908    21.4400     0.0443     0.0314
   69    1.360   1568.44     0.0573     0.0023     0.0177     0.0136     0.0646     3.9169    21.7600     0.0428     0.0856
   70    1.380   1569.41     0.0550     0.0019     0.0193     0.0138     0.0631     3.3458    22.0800     0.0410     0.1340
   71    1.400   1570.35     0.0629     0.0023     0.0215     0.0140     0.0715     3.6261    22.4000     0.0491     0.1337
   72    1.420   1571.34     0.0652     0.0022     0.0239     0.0142     0.0750     3.3761    22.7200     0.0523     0.1748
   73    1.440   1572.34     0.0659     0.0022     0.0216     0.0144     0.0753     3.3171    23.0400     0.0523     0.1513
   74    1.460   1573.29     0.0675     0.0023     0.0199     0.0146     0.0763     3.4078    23.3600     0.0530     0.1218
   75    1.480   1574.26     0.0700     0.0023     0.0157     0.0148     0.0767     3.2964    23.6800     0.0531     0.0247
   76    1.500   1575.26     0.0664     0.0025     0.0170     0.0150     0.0734     3.7772    24.0000     0.0494     0.0343
   77    1.520   1576.21     0.0633     0.0030     0.0191     0.0152     0.0711     4.7295    24.3200     0.0468     0.0699
   78    1.540   1577.21     0.0567     0.0027     0.0185     0.0154     0.0648     4.5696    24.6400     0.0401     0.0963
   79    1.560   1578.19     0.0576     0.0027     0.0191     0.0156     0.0652     4.4681    24.9600     0.0402     0.0604
   80    1.580   1579.16     0.0555     0.0024     0.0212     0.0158     0.0642     4.3249    25.2800     0.0389     0.1250
   81    1.600   1580.11     0.0581     0.0025     0.0244     0.0160     0.0677     4.4683    25.6000     0.0421     0.1651
   82    1.620   1581.10     0.0647     0.0025     0.0273     0.0162     0.0758     3.9255    25.9200     0.0499     0.2065
   83    1.640   1582.06     0.0637     0.0024     0.0295     0.0164     0.0757     3.7749    26.2400     0.0495     0.2470
   84    1.660   1583.04     0.0665     0.0024     0.0314     0.0166     0.0792     3.6218    26.5600     0.0527     0.2587
   85    1.680   1583.99     0.0699     0.0024     0.0322     0.0168     0.0829     3.5162    26.8800     0.0561     0.2541
   86    1.700   1584.92     0.0676     0.0022     0.0355     0.0170     0.0823     3.2007    27.2000     0.0551     0.3259
   87    1.720   1585.91     0.0697     0.0023     0.0377     0.0172     0.0853     3.2716    27.5200     0.0578     0.3467
   88    1.740   1586.88     0.0657     0.0021     0.0360     0.0174     0.0813     3.1311    27.8400     0.0534     0.3667
   89    1.760   1587.87     0.0665     0.0023     0.0360     0.0176     0.0817     3.3538    28.1600     0.0535     0.3463
   90    1.780   1588.81     0.0669     0.0022     0.0350     0.0178     0.0816     3.2887    28.4800     0.0531     0.3233
   91    1.800   1589.80     0.0676     0.0022     0.0333     0.0180     0.0821     3.2719    28.8000     0.0533     0.3106
   92    1.820   1590.77     0.0648     0.0022     0.0325     0.0182     0.0782     3.3964    29.1200     0.0491     0.2800
   93    1.840   1591.73     0.0602     0.0021     0.0317     0.0184     0.0738     3.5340    29.4400     0.0444     0.3147
