

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1029.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:45
 Project number                        :20024805                                                                                            
 Date of testing                       :25-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1029
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1764.28     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1765.28     0.0053                0.0000     0.0002     0.0053                0.3200     0.0050    -0.0334
    3    0.040   1766.28     0.0070                0.0000     0.0004     0.0069                0.6400     0.0063    -0.0826
    4    0.060   1767.33     0.0092     0.0008    -0.0007     0.0006     0.0090     7.4293     0.9600     0.0080    -0.1283
    5    0.080   1768.30     0.0151     0.0008    -0.0007     0.0008     0.0148     6.8676     1.2800     0.0136    -0.1170
    6    0.100   1769.34     0.0133     0.0014    -0.0017     0.0010     0.0128    14.5397     1.6000     0.0112    -0.2027
    7    0.120   1770.36     0.0129     0.0009    -0.0018     0.0012     0.0122     7.2139     1.9200     0.0103    -0.2840
    8    0.140   1771.38     0.0160     0.0009    -0.0011     0.0014     0.0153     5.6356     2.2400     0.0131    -0.2343
    9    0.160   1772.40     0.0178     0.0013     0.0005     0.0016     0.0177     8.0381     2.5600     0.0152    -0.1251
   10    0.180   1773.40     0.0149     0.0013     0.0001     0.0018     0.0151     9.0122     2.8800     0.0122    -0.1237
   11    0.200   1774.43     0.0154     0.0015     0.0002     0.0020     0.0154     9.3201     3.2000     0.0122    -0.1602
   12    0.220   1775.44     0.0151     0.0011     0.0003     0.0022     0.0153     7.5956     3.5200     0.0118    -0.1446
   13    0.240   1776.46     0.0190     0.0012     0.0007     0.0024     0.0192     6.7863     3.8400     0.0153    -0.1316
   14    0.260   1777.47     0.0180     0.0013     0.0019     0.0026     0.0186     7.1428     4.1600     0.0145    -0.0688
   15    0.280   1778.49     0.0176     0.0013     0.0025     0.0028     0.0185     7.4558     4.4800     0.0140    -0.0416
   16    0.300   1779.50     0.0199     0.0013     0.0027     0.0030     0.0210     6.6560     4.8000     0.0162    -0.0248
   17    0.320   1780.50     0.0214     0.0010     0.0010     0.0032     0.0221     4.7135     5.1200     0.0170    -0.0835
   18    0.340   1781.55     0.0222     0.0011     0.0023     0.0034     0.0230     5.1730     5.4400     0.0176    -0.0781
   19    0.360   1782.56     0.0251     0.0014     0.0007     0.0036     0.0257     5.1004     5.7600     0.0199    -0.1175
   20    0.380   1783.59     0.0238     0.0015     0.0014     0.0038     0.0241     6.1215     6.0800     0.0180    -0.1770
   21    0.400   1784.62     0.0208     0.0016     0.0030     0.0040     0.0221     7.7357     6.4000     0.0157    -0.0554
   22    0.420   1785.60     0.0255     0.0014     0.0009     0.0042     0.0261     6.3963     6.7200     0.0194    -0.1396
   23    0.440   1786.64     0.0249     0.0015     0.0018     0.0044     0.0254     6.1750     7.0400     0.0184    -0.1702
   24    0.460   1787.62     0.0265     0.0014     0.0033     0.0046     0.0278     5.8958     7.3600     0.0204    -0.0871
   25    0.480   1788.64     0.0249     0.0013     0.0042     0.0048     0.0266     5.1164     7.6800     0.0189    -0.0476
   26    0.500   1789.64     0.0265     0.0012     0.0048     0.0050     0.0284     4.3144     8.0000     0.0204    -0.0280
   27    0.520   1790.68     0.0223     0.0015     0.0060     0.0052     0.0246     6.8377     8.3200     0.0163     0.0247
   28    0.540   1791.71     0.0267     0.0012     0.0064     0.0054     0.0294     4.3643     8.6400     0.0207     0.0516
   29    0.560   1792.69     0.0279     0.0013     0.0062     0.0056     0.0305     4.5961     8.9600     0.0215     0.0291
   30    0.580   1793.69     0.0286     0.0012     0.0063     0.0058     0.0312     4.1449     9.2800     0.0220     0.0231
   31    0.600   1794.68     0.0266     0.0015     0.0058     0.0060     0.0291     5.4971     9.6000     0.0195     0.0040
   32    0.620   1795.71     0.0292     0.0014     0.0057     0.0062     0.0315     4.6131     9.9200     0.0216    -0.0284
   33    0.640   1796.74     0.0299     0.0012     0.0050     0.0064     0.0320     4.1434    10.2400     0.0218    -0.0548
   34    0.660   1797.71     0.0313     0.0017     0.0055     0.0066     0.0336     5.3449    10.5600     0.0230    -0.0441
   35    0.680   1798.74     0.0331     0.0022     0.0059     0.0068     0.0355     6.8863    10.8800     0.0246    -0.0485
   36    0.700   1799.74     0.0310     0.0022     0.0062     0.0070     0.0335     6.8873    11.2000     0.0223    -0.0435
   37    0.720   1800.77     0.0320     0.0023     0.0063     0.0072     0.0346     7.1245    11.5200     0.0231    -0.0367
   38    0.740   1801.76     0.0294     0.0019     0.0063     0.0074     0.0320     6.6339    11.8400     0.0202    -0.0620
   39    0.760   1813.28     0.0331     0.0018     0.0074     0.0076     0.0360     5.4189    12.1600     0.0239    -0.0224
   40    0.780   1834.89     0.0314     0.0015     0.0087     0.0078     0.0348     4.5008    12.4800     0.0223     0.0257
   41    0.800   1856.26     0.0297     0.0015     0.0100     0.0080     0.0337     4.9157    12.8000     0.0209     0.0738
   42    0.820   1857.25     0.0299     0.0016     0.0111     0.0082     0.0344     5.3378    13.1200     0.0213     0.1254
   43    0.840   1858.26     0.0336     0.0016     0.0120     0.0084     0.0385     5.6048    13.4400     0.0251     0.1390
   44    0.860   1859.30     0.0338     0.0015     0.0113     0.0086     0.0384     5.1146    13.7600     0.0247     0.1017
   45    0.880   1860.35     0.0334     0.0017     0.0119     0.0088     0.0383     5.2170    14.0800     0.0242     0.1166
   46    0.900   1861.37     0.0308     0.0018     0.0118     0.0090     0.0358     5.3760    14.4000     0.0214     0.1377
   47    0.920   1862.36     0.0359     0.0016     0.0116     0.0092     0.0408     4.4909    14.7200     0.0261     0.0959
   48    0.940   1863.38     0.0326     0.0016     0.0118     0.0094     0.0374     4.9966    15.0400     0.0224     0.0951
   49    0.960   1864.38     0.0340     0.0016     0.0135     0.0096     0.0394     4.6547    15.3600     0.0241     0.1378
   50    0.980   1865.40     0.0328     0.0017     0.0147     0.0098     0.0387     5.3264    15.6800     0.0231     0.1891
   51    1.000   1866.41     0.0346     0.0018     0.0163     0.0100     0.0412     5.1671    16.0000     0.0252     0.2271
   52    1.020   1867.42     0.0341     0.0015     0.0168     0.0102     0.0412     4.5441    16.3200     0.0249     0.2659
   53    1.040   1868.44     0.0384     0.0016     0.0160     0.0104     0.0449     4.2741    16.6400     0.0283     0.1806
   54    1.060   1869.41     0.0363     0.0018     0.0155     0.0106     0.0430     4.6335    16.9600     0.0260     0.2037
   55    1.080   1870.43     0.0365     0.0020     0.0145     0.0108     0.0428     5.3970    17.2800     0.0255     0.1643
   56    1.100   1871.47     0.0355     0.0016     0.0145     0.0110     0.0414     4.5261    17.6000     0.0238     0.1221
   57    1.120   1872.45     0.0367     0.0015     0.0163     0.0112     0.0433     4.1422    17.9200     0.0254     0.1778
   58    1.140   1873.47     0.0398     0.0019     0.0176     0.0114     0.0471     4.6805    18.2400     0.0288     0.2021
   59    1.160   1874.44     0.0407     0.0021     0.0190     0.0116     0.0485     5.1758    18.5600     0.0299     0.2297
   60    1.180   1875.46     0.0436     0.0021     0.0187     0.0118     0.0516     4.8389    18.8800     0.0327     0.2227
   61    1.200   1876.47     0.0486     0.0023     0.0174     0.0120     0.0561     4.7266    19.2000     0.0369     0.1556
   62    1.220   1877.46     0.0527     0.0023     0.0154     0.0122     0.0597     4.5042    19.5200     0.0402     0.1108
   63    1.240   1878.47     0.0566     0.0025     0.0166     0.0124     0.0633     4.3704    19.8400     0.0435     0.0840
   64    1.260   1879.49     0.0548     0.0027     0.0176     0.0126     0.0621     5.0008    20.1600     0.0419     0.1164
   65    1.280   1880.52     0.0542     0.0029     0.0161     0.0128     0.0613     5.2803    20.4800     0.0408     0.0984
   66    1.300   1881.51     0.0573     0.0026     0.0126     0.0130     0.0629     4.5984    20.8000     0.0421     0.0075
   67    1.320   1882.52     0.0574     0.0028     0.0133     0.0132     0.0628     4.9078    21.1200     0.0417    -0.0117
   68    1.340   1883.54     0.0550     0.0026     0.0163     0.0134     0.0615     4.7198    21.4400     0.0401     0.0517
   69    1.360   1884.55     0.0539     0.0024     0.0166     0.0136     0.0608     4.4547    21.7600     0.0391     0.0749
   70    1.380   1885.58     0.0511     0.0023     0.0160     0.0138     0.0579     4.5448    22.0800     0.0358     0.0624
   71    1.400   1886.61     0.0496     0.0024     0.0186     0.0140     0.0570     4.5975    22.4000     0.0346     0.1007
   72    1.420   1887.61     0.0500     0.0023     0.0226     0.0142     0.0590     4.6709    22.7200     0.0362     0.1973
   73    1.440   1888.61     0.0535     0.0024     0.0258     0.0144     0.0639     4.5129    23.0400     0.0408     0.2542
   74    1.460   1889.61     0.0566     0.0024     0.0260     0.0146     0.0677     4.3025    23.3600     0.0443     0.2650
   75    1.480   1890.65     0.0562     0.0026     0.0255     0.0148     0.0672     4.6452    23.6800     0.0435     0.2598
   76    1.500   1891.67     0.0566     0.0022     0.0250     0.0150     0.0671     3.9548    24.0000     0.0431     0.2298
   77    1.520   1892.65     0.0567     0.0026     0.0238     0.0152     0.0668     4.6554    24.3200     0.0425     0.2076
   78    1.540   1893.65     0.0572     0.0026     0.0259     0.0154     0.0674     4.5680    24.6400     0.0428     0.2103
