

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1037(S).002                         
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :24-May-2022
                         time          :16:07:24
 Project number                        :20024805                                                                                            
 Date of testing                       :23-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1037(S)
 Penetrometer                          :F7.5CKE2X3S\B\2753
 Serial no                             :1701-2753

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1302.50     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1358.38     0.0014                           0.0002     0.0014                0.3200     0.0011    -0.3454
    3    0.040   1442.81     0.0030                0.0007     0.0004     0.0032                0.6400     0.0026     0.0023
    4    0.060   1454.47     0.0043                0.0010     0.0006     0.0047                0.9600     0.0037     0.1118
    5    0.080   1459.47     0.0052     0.0004     0.0011     0.0008     0.0056    10.4678     1.2800     0.0043     0.0699
    6    0.100   1464.47     0.0061     0.0005     0.0011     0.0010     0.0066    11.6463     1.6000     0.0050     0.0281
    7    0.120   1467.90     0.0064     0.0006     0.0015     0.0012     0.0070     8.7337     1.9200     0.0050     0.0310
    8    0.140   1470.71     0.0067     0.0006     0.0019     0.0014     0.0074     8.9310     2.2400     0.0052     0.0708
    9    0.160   1475.53     0.0071     0.0006     0.0024     0.0016     0.0080     9.0240     2.5600     0.0055     0.1114
   10    0.180   1478.09     0.0071     0.0007     0.0029     0.0018     0.0083     9.8053     2.8800     0.0054     0.1702
   11    0.200   1479.07     0.0079     0.0007     0.0032     0.0020     0.0092     9.5922     3.2000     0.0060     0.1943
   12    0.220   1480.03     0.0088     0.0008     0.0038     0.0022     0.0103     9.2353     3.5200     0.0067     0.1906
   13    0.240   1480.96     0.0094     0.0008     0.0045     0.0024     0.0112     9.4492     3.8400     0.0074     0.2541
   14    0.260   1481.93     0.0098     0.0008     0.0046     0.0026     0.0117     8.5621     4.1600     0.0075     0.2584
   15    0.280   1482.89     0.0087     0.0008     0.0043     0.0028     0.0106     8.8456     4.4800     0.0061     0.2835
   16    0.300   1483.85     0.0097     0.0009     0.0039     0.0030     0.0113     9.9772     4.8000     0.0065     0.1249
   17    0.320   1484.79     0.0100     0.0009     0.0044     0.0032     0.0117     9.0233     5.1200     0.0066     0.1574
   18    0.340   1485.74     0.0116     0.0011     0.0061     0.0034     0.0139     9.8164     5.4400     0.0084     0.2409
   19    0.360   1486.73     0.0144     0.0012     0.0063     0.0036     0.0170     9.2497     5.7600     0.0112     0.2398
   20    0.380   1487.66     0.0169     0.0013     0.0068     0.0038     0.0196     8.1708     6.0800     0.0135     0.1978
   21    0.400   1488.59     0.0168     0.0014     0.0039     0.0040     0.0198     8.4401     6.4000     0.0134     0.2315
   22    0.420   1489.56     0.0180     0.0015     0.0039     0.0042     0.0192     8.4123     6.7200     0.0125    -0.0994
   23    0.440   1490.52     0.0188     0.0015     0.0051     0.0044     0.0208     8.1623     7.0400     0.0137     0.0248
   24    0.460   1491.49     0.0173     0.0016     0.0067     0.0046     0.0199     9.1850     7.3600     0.0125     0.1349
   25    0.480   1492.46     0.0162     0.0016     0.0075     0.0048     0.0192     9.8218     7.6800     0.0116     0.2116
   26    0.500   1493.42     0.0148     0.0017     0.0078     0.0050     0.0180    10.7223     8.0000     0.0100     0.2748
   27    0.520   1494.36     0.0140     0.0016     0.0080     0.0052     0.0173    11.3910     8.3200     0.0090     0.3040
