

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2005.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:46
 Project number                        :20024805                                                                                            
 Date of testing                       :27-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-2005
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1422.94     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1425.30     0.0045                0.0001     0.0002     0.0045                0.3200     0.0042    -0.0332
    3    0.040   1428.95     0.0054                0.0001     0.0004     0.0055                0.6400     0.0048    -0.0600
    4    0.060   1432.61     0.0063     0.0004     0.0001     0.0006     0.0064     9.3172     0.9600     0.0054    -0.0867
    5    0.080   1433.91     0.0075     0.0004    -0.0002     0.0008     0.0076     5.8645     1.2800     0.0063    -0.1215
    6    0.100   1434.94     0.0090     0.0005     0.0000     0.0010     0.0088     7.5794     1.6000     0.0072    -0.1894
    7    0.120   1436.00     0.0098     0.0007     0.0005     0.0012     0.0098     8.6432     1.9200     0.0079    -0.1491
    8    0.140   1437.05     0.0116     0.0007     0.0004     0.0014     0.0117     6.7472     2.2400     0.0095    -0.1166
    9    0.160   1438.11     0.0140     0.0009     0.0005     0.0016     0.0142     7.2275     2.5600     0.0117    -0.0862
   10    0.180   1439.18     0.0129     0.0010     0.0004     0.0018     0.0131     8.1487     2.8800     0.0102    -0.1413
   11    0.200   1440.25     0.0141     0.0010     0.0010     0.0020     0.0145     9.4782     3.2000     0.0113    -0.1064
   12    0.220   1441.27     0.0131     0.0011     0.0004     0.0022     0.0134     9.8617     3.5200     0.0099    -0.1500
   13    0.240   1442.31     0.0127     0.0011     0.0002     0.0024     0.0126     9.3942     3.8400     0.0088    -0.2894
   14    0.260   1443.34     0.0104     0.0010     0.0024     0.0026     0.0112    10.3937     4.1600     0.0070    -0.1135
   15    0.280   1444.42     0.0126     0.0010     0.0031     0.0028     0.0138     7.5823     4.4800     0.0093     0.0215
   16    0.300   1448.05     0.0133     0.0010     0.0037     0.0030     0.0148     8.0155     4.8000     0.0100     0.0446
   17    0.320   1454.83     0.0145     0.0010     0.0045     0.0032     0.0162     7.6571     5.1200     0.0111     0.0856
   18    0.340   1461.61     0.0156     0.0012     0.0052     0.0034     0.0177     9.7513     5.4400     0.0123     0.1266
   19    0.360   1463.80     0.0181     0.0011     0.0049     0.0036     0.0203     6.5578     5.7600     0.0145     0.1017
   20    0.380   1464.82     0.0199     0.0011     0.0056     0.0038     0.0220     5.7412     6.0800     0.0159     0.0765
   21    0.400   1465.84     0.0181     0.0010     0.0069     0.0040     0.0208     4.7846     6.4000     0.0144     0.1811
   22    0.420   1466.91     0.0173     0.0014     0.0064     0.0042     0.0202     6.4146     6.7200     0.0134     0.1961
   23    0.440   1467.93     0.0211     0.0012     0.0064     0.0044     0.0236     5.8079     7.0400     0.0165     0.0933
   24    0.460   1468.98     0.0183     0.0013     0.0073     0.0046     0.0212     6.7434     7.3600     0.0139     0.1707
   25    0.480   1470.00     0.0215     0.0015     0.0093     0.0048     0.0251     8.1380     7.6800     0.0174     0.2050
   26    0.500   1471.03     0.0243     0.0016     0.0098     0.0050     0.0284     7.0995     8.0000     0.0204     0.2399
   27    0.520   1472.08     0.0207     0.0015     0.0098     0.0052     0.0248     7.0756     8.3200     0.0164     0.2727
   28    0.540   1473.12     0.0217     0.0016     0.0074     0.0054     0.0252     7.7240     8.6400     0.0166     0.1758
   29    0.560   1474.15     0.0249     0.0014     0.0069     0.0056     0.0279     6.9656     8.9600     0.0189     0.0783
   30    0.580   1475.16     0.0208     0.0013     0.0064     0.0058     0.0236     6.2072     9.2800     0.0143     0.0604
   31    0.600   1476.20     0.0224     0.0017     0.0078     0.0060     0.0255     7.3658     9.6000     0.0159     0.0942
   32    0.620   1477.24     0.0211     0.0014     0.0084     0.0062     0.0246     6.4359     9.9200     0.0147     0.1449
   33    0.640   1482.19     0.0220     0.0015     0.0085     0.0064     0.0255     6.9679    10.2400     0.0153     0.1370
   34    0.660   1495.86     0.0251     0.0017     0.0086     0.0066     0.0287     8.0360    10.5600     0.0181     0.1136
   35    0.680   1509.54     0.0283     0.0016     0.0086     0.0068     0.0319     7.6464    10.8800     0.0210     0.0901
   36    0.700   1517.45     0.0278     0.0018     0.0090     0.0070     0.0315     5.9849    11.2000     0.0203     0.0961
   37    0.720   1518.45     0.0314     0.0017     0.0092     0.0072     0.0353     6.7908    11.5200     0.0238     0.0847
   38    0.740   1519.50     0.0261     0.0018     0.0091     0.0074     0.0300     6.5048    11.8400     0.0182     0.1076
   39    0.760   1520.54     0.0254     0.0018     0.0086     0.0076     0.0291     6.3597    12.1600     0.0169     0.0602
   40    0.780   1521.56     0.0249     0.0015     0.0113     0.0078     0.0288     6.1635    12.4800     0.0163     0.0906
   41    0.800   1522.60     0.0236     0.0016     0.0107     0.0080     0.0282     6.6782    12.8000     0.0154     0.1903
   42    0.820   1523.60     0.0260     0.0015     0.0102     0.0082     0.0302     6.2946    13.1200     0.0171     0.1135
   43    0.840   1524.66     0.0275     0.0018     0.0114     0.0084     0.0321     6.5447    13.4400     0.0186     0.1364
   44    0.860   1525.68     0.0263     0.0016     0.0144     0.0086     0.0320     6.4287    13.7600     0.0183     0.2822
   45    0.880   1526.71     0.0299     0.0016     0.0159     0.0088     0.0364     5.5197    14.0800     0.0223     0.3015
   46    0.900   1527.72     0.0299     0.0018     0.0165     0.0090     0.0369     5.9101    14.4000     0.0225     0.3371
   47    0.920   1528.76     0.0286     0.0014     0.0158     0.0092     0.0353     4.4646    14.7200     0.0206     0.3246
   48    0.940   1529.81     0.0299     0.0017     0.0160     0.0094     0.0366     5.4514    15.0400     0.0215     0.3023
   49    0.960   1530.82     0.0308     0.0015     0.0170     0.0096     0.0378     5.2220    15.3600     0.0224     0.3119
   50    0.980   1531.83     0.0308     0.0015     0.0194     0.0098     0.0385     4.8891    15.6800     0.0228     0.3785
   51    1.000   1532.87     0.0313     0.0016     0.0193     0.0100     0.0396     5.0399    16.0000     0.0236     0.4116
   52    1.020   1533.88     0.0330     0.0019     0.0194     0.0102     0.0412     6.1850    16.3200     0.0249     0.3721
   53    1.040   1534.90     0.0338     0.0021     0.0202     0.0104     0.0421     6.5578    16.6400     0.0255     0.3670
   54    1.060   1535.93     0.0334     0.0020     0.0203     0.0106     0.0419     6.0286    16.9600     0.0249     0.3802
   55    1.080   1536.95     0.0346     0.0020     0.0211     0.0108     0.0434     5.8357    17.2800     0.0261     0.3916
   56    1.100   1537.98     0.0344     0.0019     0.0211     0.0110     0.0432     5.5453    17.6000     0.0256     0.3879
   57    1.120   1539.03     0.0343     0.0017     0.0230     0.0112     0.0437     4.9513    17.9200     0.0258     0.4314
   58    1.140   1540.04     0.0379     0.0020     0.0239     0.0114     0.0479     5.3815    18.2400     0.0297     0.4161
   59    1.160   1541.07     0.0416     0.0021     0.0243     0.0116     0.0519     5.3058    18.5600     0.0333     0.3886
   60    1.180   1542.12     0.0533     0.0019     0.0230     0.0118     0.0633     4.2621    18.8800     0.0444     0.2706
   61    1.200   1543.18     0.0623     0.0021     0.0139     0.0120     0.0700     4.0960    19.2000     0.0508     0.1273
   62    1.220   1544.20     0.0606     0.0022     0.0093     0.0122     0.0645     3.9299    19.5200     0.0450    -0.0639
   63    1.240   1545.25     0.0550     0.0023     0.0100     0.0124     0.0591     3.9229    19.8400     0.0392    -0.0707
   64    1.260   1546.28     0.0488     0.0023     0.0097     0.0126     0.0532     4.4834    20.1600     0.0331    -0.0642
   65    1.280   1547.30     0.0429     0.0022     0.0106     0.0128     0.0468     5.1499    20.4800     0.0263    -0.1357
   66    1.300   1550.07     0.0390     0.0020     0.0143     0.0130     0.0445     4.7906    20.8000     0.0237     0.0412
   67    1.320   1553.10     0.0347     0.0019     0.0181     0.0132     0.0417     4.5056    21.1200     0.0206     0.2219
   68    1.340   1556.00     0.0302     0.0018     0.0208     0.0134     0.0388     4.4258    21.4400     0.0173     0.4060
   69    1.360   1557.04     0.0285     0.0016     0.0216     0.0136     0.0373     5.6639    21.7600     0.0155     0.4754
   70    1.380   1558.05     0.0321     0.0016     0.0228     0.0138     0.0416     5.2690    22.0800     0.0195     0.4541
   71    1.400   1559.09     0.0352     0.0022     0.0227     0.0140     0.0448     6.5325    22.4000     0.0224     0.3997
   72    1.420   1560.11     0.0395     0.0021     0.0225     0.0142     0.0491     5.5182    22.7200     0.0264     0.3322
   73    1.440   1561.14     0.0416     0.0020     0.0213     0.0144     0.0509     4.8961    23.0400     0.0279     0.2802
   74    1.460   1562.19     0.0444     0.0023     0.0185     0.0146     0.0529     5.2580    23.3600     0.0296     0.1967
   75    1.480   1563.19     0.0496     0.0023     0.0172     0.0148     0.0562     4.7651    23.6800     0.0326     0.0270
   76    1.500   1564.24     0.0462     0.0023     0.0205     0.0150     0.0544     4.5812    24.0000     0.0304     0.1486
   77    1.520   1565.29     0.0438     0.0023     0.0222     0.0152     0.0529     5.2183    24.3200     0.0286     0.2300
   78    1.540   1566.31     0.0457     0.0024     0.0210     0.0154     0.0547     5.4822    24.6400     0.0300     0.2027
   79    1.560   1567.37     0.0449     0.0024     0.0216     0.0156     0.0541     5.4217    24.9600     0.0291     0.2145
   80    1.580   1568.40     0.0465     0.0025     0.0213     0.0158     0.0549     5.3774    25.2800     0.0296     0.1449
   81    1.600   1569.41     0.0528     0.0022     0.0176     0.0160     0.0606     4.6993    25.6000     0.0350     0.0757
   82    1.620   1570.47     0.0631     0.0025     0.0191     0.0162     0.0710     4.4225    25.9200     0.0451     0.0565
   83    1.640   1571.52     0.0608     0.0020     0.0225     0.0164     0.0695     3.0887    26.2400     0.0432     0.0982
   84    1.660   1572.54     0.0537     0.0022     0.0236     0.0166     0.0632     4.0506    26.5600     0.0367     0.1672
   85    1.680   1573.59     0.0572     0.0028     0.0266     0.0168     0.0678     5.0413    26.8800     0.0409     0.2010
   86    1.700   1574.63     0.0590     0.0027     0.0294     0.0170     0.0713     4.6631    27.2000     0.0441     0.2776
   87    1.720   1575.66     0.0603     0.0027     0.0312     0.0172     0.0730     4.4924    27.5200     0.0454     0.2831
   88    1.740   1576.70     0.0614     0.0027     0.0338     0.0174     0.0750     4.4564    27.8400     0.0471     0.3159
   89    1.760   1577.74     0.0598     0.0026     0.0365     0.0176     0.0748     4.2455    28.1600     0.0466     0.3890
   90    1.780   1578.76     0.0584     0.0026     0.0391     0.0178     0.0745     4.2754    28.4800     0.0460     0.4475
   91    1.800   1579.80     0.0550     0.0027     0.0408     0.0180     0.0719     5.0084    28.8000     0.0431     0.5136
