

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1027.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :26-Apr-2022
                         time          :10:11:38
 Project number                        :20024805                                                                                            
 Date of testing                       :22-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1027
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1571.19     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1592.37     0.0017                           0.0002     0.0017                0.3200     0.0014           
    3    0.040   1613.55     0.0034                           0.0004     0.0034                0.6400     0.0028           
    4    0.060   1626.61     0.0043     0.0002     0.0003     0.0006     0.0043     4.9761     0.9600     0.0033    -0.1530
    5    0.080   1627.59     0.0041     0.0002     0.0006     0.0008     0.0043    12.7369     1.2800     0.0030    -0.3147
    6    0.100   1628.56     0.0051     0.0005     0.0009     0.0010     0.0054     8.5598     1.6000     0.0038    -0.0627
    7    0.120   1629.48     0.0057     0.0005     0.0011     0.0012     0.0062     7.9097     1.9200     0.0043    -0.0222
    8    0.140   1630.45     0.0082     0.0006     0.0011     0.0014     0.0086     7.2596     2.2400     0.0064    -0.0723
    9    0.160   1631.39     0.0111     0.0009     0.0007     0.0016     0.0115     8.0106     2.5600     0.0090    -0.0802
   10    0.180   1632.36     0.0128     0.0010     0.0001     0.0018     0.0129     7.9769     2.8800     0.0100    -0.1550
   11    0.200   1633.80     0.0103     0.0014    -0.0003     0.0020     0.0102    13.3507     3.2000     0.0070    -0.3221
   12    0.220   1637.70     0.0113     0.0011    -0.0004     0.0022     0.0111    11.3224     3.5200     0.0076    -0.3377
   13    0.240   1641.60     0.0122     0.0013    -0.0006     0.0024     0.0120    12.6056     3.8400     0.0082    -0.3532
   14    0.260   1644.90     0.0124     0.0014     0.0001     0.0026     0.0123    11.7086     4.1600     0.0081    -0.3516
   15    0.280   1645.84     0.0130     0.0015     0.0011     0.0028     0.0130    11.3466     4.4800     0.0086    -0.3018
   16    0.300   1646.83     0.0129     0.0013     0.0017     0.0030     0.0136    11.1653     4.8000     0.0088    -0.1585
   17    0.320   1647.79     0.0135     0.0013     0.0027     0.0032     0.0146    10.7120     5.1200     0.0095    -0.0464
   18    0.340   1648.70     0.0122     0.0014     0.0028     0.0034     0.0134    10.6864     5.4400     0.0080    -0.0600
   19    0.360   1649.69     0.0128     0.0016     0.0022     0.0036     0.0138    10.2407     5.7600     0.0080    -0.1463
   20    0.380   1650.64     0.0105     0.0014     0.0021     0.0038     0.0113    10.8478     6.0800     0.0052    -0.3708
   21    0.400   1651.57     0.0113     0.0015     0.0032     0.0040     0.0125    13.0413     6.4000     0.0061    -0.1919
   22    0.420   1652.52     0.0126     0.0016     0.0035     0.0042     0.0140    11.7136     6.7200     0.0073    -0.1096
   23    0.440   1653.47     0.0129     0.0015     0.0034     0.0044     0.0143    11.1815     7.0400     0.0072    -0.1544
   24    0.460   1654.40     0.0120     0.0019     0.0041     0.0046     0.0137    15.8041     7.3600     0.0063    -0.0893
   25    0.480   1655.37     0.0122     0.0018     0.0045     0.0048     0.0142    14.0805     7.6800     0.0065    -0.0199
   26    0.500   1656.32     0.0093     0.0017     0.0039     0.0050     0.0111    16.0357     8.0000     0.0031    -0.3086
   27    0.520   1657.27     0.0082     0.0016     0.0043     0.0052     0.0098    20.0659     8.3200     0.0015    -1.4448
   28    0.540   1658.23     0.0107     0.0016     0.0059     0.0054     0.0131    15.1599     8.6400     0.0045     0.0641
   29    0.560   1659.19     0.0087     0.0017     0.0068     0.0056     0.0115    16.9465     8.9600     0.0025     0.4449
   30    0.580   1660.12     0.0104     0.0018     0.0076     0.0058     0.0136    23.8821     9.2800     0.0043     0.5421
   31    0.600   1661.07     0.0078     0.0014     0.0074     0.0060     0.0109    18.7841     9.6000     0.0013     1.1898
   32    0.620   1662.03     0.0087     0.0016     0.0074     0.0062     0.0119    17.8392     9.9200     0.0019     0.7121
   33    0.640   1663.01     0.0093     0.0016     0.0071     0.0064     0.0122    21.4610    10.2400     0.0020     0.8002
   34    0.660   1663.96     0.0075     0.0016     0.0073     0.0066     0.0105    19.7705    10.5600     0.0000    -0.0350
   35    0.680   1664.90     0.0072     0.0017     0.0076     0.0068     0.0103    22.2893    10.8800    -0.0006     2.2340
   36    0.700   1665.83     0.0083     0.0017     0.0091     0.0070     0.0118    24.5193    11.2000     0.0006    -1.0047
   37    0.720   1666.78     0.0101     0.0017     0.0091     0.0072     0.0139    16.9184    11.5200     0.0024     0.8390
