

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1031.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :15-Mar-2022
                         time          :17:33:28
 Project number                        :20024805                                                                                            
 Date of testing                       :14-Mar-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1031
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1926.31     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1927.40     0.0037                0.0006     0.0002     0.0040                0.3200     0.0037     0.1125
    3    0.040   1928.45     0.0069                0.0010     0.0004     0.0073                0.6400     0.0067     0.0903
    4    0.060   1929.51     0.0067     0.0004     0.0011     0.0006     0.0071     5.3663     0.9600     0.0062     0.0562
    5    0.080   1930.57     0.0086     0.0007     0.0015     0.0008     0.0092     7.6859     1.2800     0.0079     0.0746
    6    0.100   1932.83     0.0083     0.0005     0.0009     0.0010     0.0088     7.4517     1.6000     0.0072     0.0400
    7    0.120   1935.49     0.0103     0.0008     0.0003     0.0012     0.0105    11.7626     1.9200     0.0085    -0.0598
    8    0.140   1937.96     0.0115     0.0007     0.0000     0.0014     0.0115     8.3123     2.2400     0.0092    -0.1600
    9    0.160   1939.00     0.0139     0.0008     0.0001     0.0016     0.0139     6.7287     2.5600     0.0114    -0.1316
   10    0.180   1940.03     0.0126     0.0009     0.0013     0.0018     0.0129     6.7796     2.8800     0.0100    -0.1195
   11    0.200   1941.07     0.0133     0.0009     0.0030     0.0020     0.0144     7.6528     3.2000     0.0112     0.0500
   12    0.220   1942.11     0.0127     0.0008     0.0034     0.0022     0.0141     5.1105     3.5200     0.0106     0.1085
   13    0.240   1943.16     0.0146     0.0013     0.0037     0.0024     0.0161     9.6770     3.8400     0.0123     0.0985
   14    0.260   1944.18     0.0176     0.0014     0.0034     0.0026     0.0191     7.9138     4.1600     0.0150     0.0616
   15    0.280   1945.24     0.0135     0.0011     0.0037     0.0028     0.0150     7.3042     4.4800     0.0105     0.0784
   16    0.300   1946.27     0.0162     0.0010     0.0042     0.0030     0.0179     6.0787     4.8000     0.0131     0.0767
   17    0.320   1947.32     0.0163     0.0013     0.0038     0.0032     0.0183     7.4160     5.1200     0.0131     0.1168
   18    0.340   1948.33     0.0175     0.0018     0.0025     0.0034     0.0185     9.7527     5.4400     0.0131    -0.0677
   19    0.360   1949.41     0.0157     0.0013     0.0035     0.0036     0.0169     8.7184     5.7600     0.0112    -0.0545
   20    0.380   1950.46     0.0170     0.0013     0.0043     0.0038     0.0186     8.0890     6.0800     0.0126     0.0154
   21    0.400   1951.51     0.0182     0.0015     0.0030     0.0040     0.0200     8.7020     6.4000     0.0136     0.0093
   22    0.420   1952.49     0.0179     0.0017     0.0029     0.0042     0.0191     8.9425     6.7200     0.0123    -0.1259
   23    0.440   1953.54     0.0151     0.0015     0.0040     0.0044     0.0163     9.7658     7.0400     0.0093    -0.1652
   24    0.460   1954.60     0.0128     0.0017     0.0048     0.0046     0.0147    14.9632     7.3600     0.0074    -0.0119
   25    0.480   1955.64     0.0159     0.0018     0.0049     0.0048     0.0179    11.0580     7.6800     0.0102     0.0042
   26    0.500   1956.68     0.0150     0.0020     0.0057     0.0050     0.0172    15.2742     8.0000     0.0092     0.0151
   27    0.520   1957.74     0.0152     0.0017     0.0063     0.0052     0.0179    13.4100     8.3200     0.0096     0.1253
   28    0.540   1958.76     0.0168     0.0018     0.0076     0.0054     0.0198    12.8358     8.6400     0.0112     0.1491
   29    0.560   1959.77     0.0154     0.0017     0.0074     0.0056     0.0187    11.6820     8.9600     0.0097     0.2212
   30    0.580   1960.82     0.0182     0.0018     0.0067     0.0058     0.0210    10.6143     9.2800     0.0118     0.0873
   31    0.600   1961.85     0.0133     0.0018     0.0056     0.0060     0.0157    14.7719     9.6000     0.0061    -0.0491
   32    0.620   1962.91     0.0132     0.0016     0.0075     0.0062     0.0163    15.3010     9.9200     0.0064     0.1899
   33    0.640   1963.91     0.0123     0.0017     0.0073     0.0064     0.0155    11.9226    10.2400     0.0053     0.2264
   34    0.660   1964.96     0.0145     0.0018     0.0078     0.0066     0.0177    15.1460    10.5600     0.0072     0.1678
   35    0.680   1965.99     0.0126     0.0013     0.0085     0.0068     0.0163    10.8187    10.8800     0.0054     0.3767
   36    0.700   1967.04     0.0116     0.0016     0.0095     0.0070     0.0154    13.6538    11.2000     0.0042     0.4957
   37    0.720   1968.10     0.0145     0.0016     0.0095     0.0072     0.0187    12.6990    11.5200     0.0072     0.4117
   38    0.740   1969.12     0.0148     0.0015     0.0092     0.0074     0.0183    10.3817    11.8400     0.0064     0.1428
   39    0.760   1970.14     0.0146     0.0019     0.0089     0.0076     0.0187    12.9104    12.1600     0.0066     0.3231
   40    0.780   1971.18     0.0182     0.0021     0.0097     0.0078     0.0219    13.3110    12.4800     0.0094     0.1021
   41    0.800   1972.23     0.0194     0.0021     0.0118     0.0080     0.0241    11.5942    12.8000     0.0113     0.2874
   42    0.820   1974.58     0.0235     0.0022     0.0083     0.0082     0.0272     9.8773    13.1200     0.0141     0.0526
   43    0.840   2004.34     0.0290     0.0022     0.0066     0.0084     0.0320     9.5028    13.4400     0.0186    -0.0464
   44    0.860   2024.66     0.0299     0.0023     0.0068     0.0086     0.0326     7.3859    13.7600     0.0188    -0.1204
   45    0.880   2027.09     0.0283     0.0022     0.0084     0.0088     0.0316     7.9123    14.0800     0.0176    -0.0551
   46    0.900   2031.77     0.0291     0.0020     0.0100     0.0090     0.0331     7.2801    14.4000     0.0187     0.0146
   47    0.920   2036.44     0.0299     0.0021     0.0115     0.0092     0.0345     7.5785    14.7200     0.0198     0.0843
   48    0.940   2040.10     0.0299     0.0021     0.0135     0.0094     0.0353     7.1271    15.0400     0.0202     0.1644
   49    0.960   2041.12     0.0294     0.0023     0.0146     0.0096     0.0356     7.9011    15.3600     0.0202     0.2538
   50    0.980   2042.12     0.0288     0.0020     0.0148     0.0098     0.0349     7.0489    15.6800     0.0192     0.2399
   51    1.000   2043.18     0.0297     0.0018     0.0146     0.0100     0.0361     6.4319    16.0000     0.0201     0.2558
   52    1.020   2044.17     0.0285     0.0024     0.0134     0.0102     0.0341     7.7352    16.3200     0.0177     0.1757
   53    1.040   2045.20     0.0301     0.0022     0.0140     0.0104     0.0359     7.2350    16.6400     0.0193     0.1801
   54    1.060   2046.26     0.0302     0.0020     0.0142     0.0106     0.0363     6.5596    16.9600     0.0193     0.1994
   55    1.080   2047.24     0.0305     0.0015     0.0162     0.0108     0.0368     5.3187    17.2800     0.0195     0.2195
   56    1.100   2048.26     0.0298     0.0017     0.0169     0.0110     0.0369     5.8801    17.6000     0.0193     0.3081
   57    1.120   2049.27     0.0271     0.0023     0.0177     0.0112     0.0343     7.0657    17.9200     0.0164     0.3732
   58    1.140   2050.32     0.0257     0.0018     0.0178     0.0114     0.0335     6.6568    18.2400     0.0153     0.4788
   59    1.160   2051.32     0.0291     0.0016     0.0169     0.0116     0.0359     6.1134    18.5600     0.0174     0.2614
