

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2022.001                            
 Output using command file : PlotASCII_qe.cmd

 ASCII file created at : date          :22-Mar-2022
                         time          :10:55:45
 Project number                        :20024805
 Date of testing                       :21-Mar-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2022
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 qe                                    :Effective Cone Resistance, Effective Cone Resistance [MPa]


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq         qe
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -        MPa
  160    3.180   2348.71    21.4040     0.0526     0.0095     0.0318    21.4124     0.2466    50.8800    21.3615    -0.0006    21.3925
  161    3.200   2349.71    22.5544     0.0527     0.0133     0.0320    22.5572     0.2345    51.2000    22.5060    -0.0011    22.5504
  162    3.220   2350.69    23.7411     0.0588     0.0059     0.0322    23.7482     0.2547    51.5200    23.6967    -0.0006    23.7312
  163    3.240   2351.74    25.0561     0.0653     0.0099     0.0324    25.0605     0.2667    51.8400    25.0087    -0.0009    25.0500
  164    3.260   2352.74    26.1452     0.0686    -0.0066     0.0326    26.1470     0.2673    52.1600    26.0949    -0.0011    26.1427
  165    3.280   2353.78    27.2109     0.0683    -0.0281     0.0328    27.2037     0.2523    52.4800    27.1512    -0.0018    27.2209
  166    3.300   2354.77    28.2058     0.0642    -0.0149     0.0330    28.2021     0.2282    52.8000    28.1493    -0.0015    28.2109
  167    3.320   2355.75    29.1159     0.0653    -0.0157     0.0332    29.1131     0.2248    53.1200    29.0600    -0.0014    29.1199
  168    3.340   2356.80    30.3506     0.0682    -0.0045     0.0334    30.3449     0.2252    53.4400    30.2914    -0.0016    30.3586
  169    3.360   2357.76    31.3366     0.0694    -0.0225     0.0336    31.3365     0.2250    53.7600    31.2827    -0.0011    31.3368
  170    3.380   2358.81    31.9004     0.0722    -0.0051     0.0338    31.8961     0.2264    54.0800    31.8420    -0.0014    31.9063
  171    3.400   2359.82    32.3205     0.0723    -0.0182     0.0340    32.3173     0.2239    54.4000    32.2629    -0.0013    32.3250
  172    3.420   2360.81    32.2051     0.0715    -0.0153     0.0342    32.1977     0.2222    54.7200    32.1429    -0.0016    32.2153
  173    3.440   2361.83    32.0821     0.0698    -0.0177     0.0344    32.0753     0.2172    55.0400    32.0203    -0.0016    32.0914
  174    3.460   2362.83    31.7192     0.0680    -0.0068     0.0346    31.7186     0.2143    55.3600    31.6633    -0.0011    31.7200
  175    3.480   2363.83    31.3564     0.0681     0.0153     0.0348    31.3579     0.2170    55.6800    31.3022    -0.0010    31.3544
  176    3.500   2364.84    31.2026     0.0684    -0.0073     0.0350    31.2018     0.2191    56.0000    31.1458    -0.0012    31.2036
  177    3.520   2365.83    31.0468     0.0669     0.0256     0.0352    31.0536     0.2156    56.3200    30.9973    -0.0006    31.0374
  178    3.540   2366.83    30.8883     0.0621     0.0076     0.0354    30.8899     0.2005    56.6400    30.8333    -0.0010    30.8860
  179    3.560   2367.81    30.4594     0.0613     0.0051     0.0356    30.4661     0.2006    56.9600    30.4092    -0.0006    30.4502
  180    3.580   2368.80    30.1194     0.0587     0.0031     0.0358    30.1234     0.1942    57.2800    30.0661    -0.0009    30.1140
  181    3.600   2369.80    29.4697     0.0622     0.0121     0.0360    29.4723     0.2106    57.6000    29.4147    -0.0010    29.4661
  182    3.620   2370.84    28.9686     0.0624     0.0135     0.0362    28.9700     0.2153    57.9200    28.9121    -0.0011    28.9666
  183    3.640   2371.79    29.1720     0.0593     0.0061     0.0364    29.1732     0.2030    58.2400    29.1149    -0.0012    29.1704
  184    3.660   2372.81    28.8173     0.0599    -0.0033     0.0366    28.8247     0.2072    58.5600    28.7661    -0.0007    28.8071
  185    3.680   2373.79    28.2061     0.0603     0.0106     0.0368    28.2097     0.2134    58.8800    28.1508    -0.0010    28.2013
  186    3.700   2374.77    27.6773     0.0616     0.0179     0.0370    27.6868     0.2222    59.2000    27.6276    -0.0005    27.6643
  187    3.720   2375.80    27.1857     0.0584     0.0245     0.0372    27.1968     0.2145    59.5200    27.1373    -0.0004    27.1703
  188    3.740   2376.76    26.8863     0.0541     0.0296     0.0374    26.8952     0.2011    59.8400    26.8354    -0.0006    26.8739
  189    3.760   2377.77    26.6514     0.0524     0.0189     0.0376    26.6618     0.1965    60.1600    26.6016    -0.0005    26.6372
  190    3.780   2378.80    26.4261     0.0493     0.0229     0.0378    26.4398     0.1865    60.4800    26.3794    -0.0002    26.4070
  191    3.800   2379.79    26.2270     0.0484     0.0205     0.0380    26.2386     0.1844    60.8000    26.1778    -0.0004    26.2110
  192    3.820   2380.81    26.1525     0.0528     0.0308     0.0382    26.1639     0.2020    61.1200    26.1028    -0.0004    26.1368
  193    3.840   2381.79    26.5916     0.0579     0.0202     0.0384    26.6007     0.2179    61.4400    26.5392    -0.0006    26.5790
  194    3.860   2382.81    27.3485     0.0634     0.0274     0.0386    27.3594     0.2320    61.7600    27.2976    -0.0005    27.3336
  195    3.880   2383.83    28.3408     0.0728     0.0213     0.0388    28.3536     0.2584    62.0800    28.2915    -0.0003    28.3232
  196    3.900   2384.84    29.5443     0.0788     0.0369     0.0390    29.5566     0.2676    62.4000    29.4942    -0.0003    29.5274
  197    3.920   2385.80    30.6189     0.0804     0.0142     0.0392    30.6236     0.2631    62.7200    30.5609    -0.0009    30.6124
  198    3.940   2386.84    31.2521     0.0819    -0.0011     0.0394    31.2569     0.2623    63.0400    31.1938    -0.0009    31.2455
  199    3.960   2387.85    31.2828     0.0829     0.0091     0.0396    31.2854     0.2648    63.3600    31.2221    -0.0011    31.2792
  200    3.980   2388.87    31.1303     0.0851     0.0120     0.0398    31.1360     0.2733    63.6800    31.0723    -0.0008    31.1225
  201    4.000   2389.85    30.7750     0.0814     0.0030     0.0400    30.7742     0.2641    64.0000    30.7102    -0.0014    30.7761
  202    4.020   2390.82    30.4437     0.0810    -0.0024     0.0402    30.4417     0.2656    64.3200    30.3774    -0.0015    30.4464
  203    4.040   2391.82    30.1827     0.0780     0.0134     0.0404    30.1873     0.2582    64.6400    30.1226    -0.0010    30.1763
  204    4.060   2392.82    30.0728     0.0734     0.0244     0.0406    30.0819     0.2438    64.9600    30.0169    -0.0006    30.0603
  205    4.080   2393.88    30.0441     0.0720     0.0151     0.0408    30.0526     0.2396    65.2800    29.9873    -0.0007    30.0323
  206    4.100   2394.85    30.1474     0.0716     0.0139     0.0410    30.1493     0.2376    65.6000    30.0837    -0.0012    30.1447
  207    4.120   2395.86    30.2721     0.0677     0.0233     0.0412    30.2771     0.2234    65.9200    30.2112    -0.0010    30.2652
  208    4.140   2396.86    30.4074     0.0683     0.0208     0.0414    30.4112     0.2252    66.2400    30.3449    -0.0011    30.4022
  209    4.160   2397.88    31.0496     0.0661     0.0165     0.0416    31.0526     0.2134    66.5600    30.9860    -0.0011    31.0456
  210    4.180   2398.88    31.6469     0.0628     0.0155     0.0418    31.6535     0.1999    66.8800    31.5867    -0.0008    31.6377
  211    4.200   2399.92    31.8157     0.0573     0.0143     0.0420    31.8218     0.1802    67.2000    31.7546    -0.0009    31.8073
  212    4.220   2400.95    31.7560     0.0524     0.0041     0.0422    31.7548     0.1651    67.5200    31.6873    -0.0014    31.7577
  213    4.240   2401.94    31.3775     0.0477    -0.0148     0.0424    31.3759     0.1516    67.8400    31.3081    -0.0015    31.3797
  214    4.260   2402.93    30.9331     0.0458    -0.0401     0.0426    30.9214     0.1479    68.1600    30.8532    -0.0023    30.9494
  215    4.280   2403.97    30.0042     0.0419    -0.0528     0.0428    29.9805     0.1389    68.4800    29.9120    -0.0033    30.0371
  216    4.300   2404.93    29.1602     0.0394    -0.0784     0.0430    29.1315     0.1343    68.8000    29.0627    -0.0038    29.1997
  217    4.320   2405.93    28.1202     0.0396    -0.0488     0.0432    28.0993     0.1395    69.1200    28.0301    -0.0033    28.1490
  218    4.340   2406.95    26.8978     0.0453    -0.0226     0.0434    26.8827     0.1664    69.4400    26.8132    -0.0030    26.9187
  219    4.360   2407.93    25.5434     0.0512     0.0088     0.0436    25.5428     0.1983    69.7600    25.4731    -0.0018    25.5442
  220    4.380   2408.91    24.2066     0.0491    -0.0087     0.0438    24.2044     0.2008    70.0800    24.1344    -0.0020    24.2096
  221    4.400   2409.88    23.0381     0.0443     0.0036     0.0440    23.0370     0.1903    70.4000    22.9666    -0.0020    23.0397
  222    4.420   2410.85    21.9434     0.0400     0.0199     0.0442    21.9506     0.1811    70.7200    21.8798    -0.0012    21.9334
  223    4.440   2411.83    21.4224     0.0387    -0.0083     0.0444    21.4252     0.1806    71.0400    21.3542    -0.0018    21.4186
  224    4.460   2412.81    21.5925     0.0353    -0.0589     0.0446    21.5757     0.1636    71.3600    21.5043    -0.0039    21.6158
  225    4.480   2413.80    21.6928     0.0359    -0.0713     0.0448    21.6512     0.1655    71.6800    21.5795    -0.0067    21.7504
  226    4.500   2414.81    21.6922     0.0377    -0.0638     0.0450    21.6591     0.1736    72.0000    21.5871    -0.0057    21.7378
  227    4.520   2415.79    21.6345     0.0379    -0.0374     0.0452    21.6186     0.1751    72.3200    21.5462    -0.0039    21.6565
  228    4.540   2416.78    21.3334     0.0455    -0.0280     0.0454    21.3225     0.2130    72.6400    21.2498    -0.0034    21.3485
  229    4.560   2417.73    20.8142     0.0477    -0.0349     0.0456    20.7971     0.2263    72.9600    20.7241    -0.0042    20.8379
  230    4.580   2418.72    20.2381     0.0479    -0.0116     0.0458    20.2268     0.2333    73.2800    20.1535    -0.0036    20.2539
  231    4.600   2419.71    19.5167     0.0450    -0.0131     0.0460    19.5081     0.2276    73.6000    19.4345    -0.0034    19.5286
  232    4.620   2420.72    18.8027     0.0426     0.0117     0.0462    18.8010     0.2245    73.9200    18.7271    -0.0027    18.8049
  233    4.640   2421.75    18.1981     0.0409    -0.0049     0.0464    18.1969     0.2234    74.2400    18.1227    -0.0027    18.1999
  234    4.660   2422.84    17.6361     0.0390     0.0011     0.0466    17.6384     0.2198    74.5600    17.5638    -0.0023    17.6330
  235    4.680   2423.90    17.4050     0.0369    -0.0226     0.0468    17.3965     0.2135    74.8800    17.3217    -0.0039    17.4166
  236    4.700   2424.98    16.9256     0.0396    -0.0172     0.0470    16.9144     0.2365    75.2000    16.8392    -0.0044    16.9411
  237    4.720   2426.04    16.3252     0.0424     0.0075     0.0472    16.3249     0.2595    75.5200    16.2493    -0.0029    16.3256
  238    4.740   2427.12    15.9424     0.0454    -0.0130     0.0474    15.9405     0.2846    75.8400    15.8647    -0.0033    15.9449
  239    4.760   2428.09    15.6667     0.0485    -0.0131     0.0476    15.6616     0.3062    76.1600    15.5855    -0.0038    15.6737
  240    4.780   2429.35    15.3965     0.0532     0.0070     0.0478    15.3977     0.3434    76.4800    15.3213    -0.0029    15.3948
  241    4.800   2439.53    15.3071     0.0590     0.0186     0.0480    15.3132     0.3833    76.8000    15.2364    -0.0022    15.2987
  242    4.820   2449.72    15.2177     0.0666     0.0302     0.0482    15.2287     0.4327    77.1200    15.1516    -0.0014    15.2025
  243    4.840   2459.91    15.1283     0.0700     0.0396     0.0484    15.1442     0.4579    77.4400    15.0668    -0.0007    15.1064
  244    4.860   2461.21    15.2581     0.0697     0.0293     0.0486    15.2726     0.4580    77.7600    15.1948    -0.0009    15.2381
  245    4.880   2462.27    15.3471     0.0659     0.0391     0.0488    15.3635     0.4297    78.0800    15.2854    -0.0006    15.3244
  246    4.900   2463.36    15.5572     0.0625     0.0365     0.0490    15.5729     0.4043    78.4000    15.4945    -0.0008    15.5355
  247    4.920   2464.40    15.9318     0.0613     0.0164     0.0492    15.9413     0.3888    78.7200    15.8626    -0.0017    15.9186
  248    4.940   2465.47    16.5211     0.0592     0.0179     0.0494    16.5278     0.3660    79.0400    16.4488    -0.0020    16.5118
  249    4.960   2466.52    17.6798     0.0560     0.0335     0.0496    17.6925     0.3229    79.3600    17.6132    -0.0011    17.6623
  250    4.980   2467.58    19.4353     0.0532     0.0312     0.0498    19.4506     0.2778    79.6800    19.3709    -0.0007    19.4142
  251    5.000   2468.59    21.5153     0.0521    -0.0437     0.0500    21.5193     0.2454    80.0000    21.4393    -0.0019    21.5099
  252    5.020   2469.59    23.4057     0.0533    -0.1572     0.0502    23.3467     0.2303    80.3200    23.2664    -0.0082    23.4871
  253    5.040   2470.62    24.5624     0.0559    -0.1993     0.0504    24.4865     0.2291    80.6400    24.4059    -0.0095    24.6671
  254    5.060   2471.60    25.1944     0.0566    -0.2086     0.0506    25.1053     0.2250    80.9600    25.0244    -0.0105    25.3174
  255    5.080   2472.58    25.3611     0.0584    -0.1865     0.0508    25.2788     0.2304    81.2800    25.1975    -0.0098    25.4747
  256    5.100   2473.58    25.3054     0.0628    -0.1216     0.0510    25.2425     0.2479    81.6000    25.1609    -0.0080    25.3922
  257    5.120   2474.55    25.1517     0.0659    -0.0632     0.0512    25.1182     0.2618    81.9200    25.0362    -0.0052    25.1980
  258    5.140   2475.58    24.9115     0.0668    -0.0295     0.0514    24.8984     0.2679    82.2400    24.8161    -0.0033    24.9298
  259    5.160   2476.58    24.7806     0.0683    -0.0011     0.0516    24.7746     0.2754    82.5600    24.6920    -0.0027    24.7890
  260    5.180   2477.58    24.8001     0.0688     0.0065     0.0518    24.8029     0.2772    82.8800    24.7200    -0.0018    24.7962
  261    5.200   2478.60    24.7040     0.0727     0.0018     0.0520    24.7043     0.2939    83.2000    24.6211    -0.0021    24.7034
  262    5.220   2479.55    24.0781     0.0807     0.0202     0.0522    24.0867     0.3307    83.5200    24.0032    -0.0013    24.0663
  263    5.240   2480.55    23.1192     0.0790     0.0125     0.0524    23.1250     0.3354    83.8400    23.0411    -0.0017    23.1111
  264    5.260   2481.51    22.2194     0.0698     0.0142     0.0526    22.2245     0.3085    84.1600    22.1403    -0.0018    22.2124
  265    5.280   2482.53    21.2360     0.0686     0.0155     0.0528    21.2414     0.3172    84.4800    21.1569    -0.0019    21.2286
  266    5.300   2483.53    20.2671     0.0731     0.0236     0.0530    20.2756     0.3549    84.8000    20.1908    -0.0016    20.2552
  267    5.320   2484.58    19.5717     0.0850     0.0289     0.0532    19.5855     0.4320    85.1200    19.5004    -0.0010    19.5526
  268    5.340   2485.66    19.0353     0.0904     0.0246     0.0534    19.0477     0.4744    85.4400    18.9623    -0.0013    19.0182
  269    5.360   2486.66    18.9276     0.0814     0.0259     0.0536    18.9378     0.4300    85.7600    18.8521    -0.0015    18.9134
  270    5.380   2487.71    19.3254     0.0766     0.0251     0.0538    19.3382     0.3976    86.0800    19.2521    -0.0012    19.3078
  271    5.400   2488.72    19.9567     0.0689    -0.0069     0.0540    19.9550     0.3448    86.4000    19.8686    -0.0029    19.9591
  272    5.420   2489.67    19.7127     0.0624    -0.1250     0.0542    19.6746     0.3149    86.7200    19.5879    -0.0074    19.7652
  273    5.440   2490.70    18.7843     0.0500    -0.1849     0.0544    18.7110     0.2608    87.0400    18.6239    -0.0123    18.8857
  274    5.460   2491.72    17.2520     0.0393    -0.2119     0.0546    17.1626     0.2200    87.3600    17.0753    -0.0157    17.3753
  275    5.480   2492.76    16.1406     0.0465    -0.2249     0.0548    16.0480     0.2799    87.6800    15.9603    -0.0173    16.2686
  276    5.500   2493.80    15.2633     0.0689    -0.2176     0.0550    15.1694     0.4425    88.0000    15.0814    -0.0185    15.3930
  277    5.520   2494.84    14.2363     0.0955    -0.1878     0.0552    14.1522     0.6550    88.3200    14.0639    -0.0182    14.3524
  278    5.540   2495.89    13.1280     0.1075    -0.1458     0.0554    13.0597     0.7930    88.6400    12.9710    -0.0168    13.2225
  279    5.560   2496.89    11.8057     0.1160    -0.0955     0.0556    11.7571     0.9353    88.9600    11.6681    -0.0147    11.8728
  280    5.580   2497.91    10.2412     0.1013    -0.0388     0.0558    10.2169     0.9595    89.2800    10.1276    -0.0112    10.2748
  281    5.600   2498.97     9.6706     0.1002     0.0452     0.0560     9.6792     1.0360    89.6000     9.5896    -0.0037     9.6588
  282    5.620   2500.07    10.7429     0.0896     0.0581     0.0562    10.7681     0.8724    89.9200    10.6781     0.0004    10.7081
  283    5.640   2501.08    11.9376     0.0833     0.0779     0.0564    11.9668     0.7151    90.2400    11.8765     0.0011    11.8972
  284    5.660   2502.13    12.8885     0.0845    -0.0599     0.0566    12.9016     0.6663    90.5600    12.8110    -0.0020    12.8705
  285    5.680   2503.23    13.8955     0.0820    -0.1226     0.0568    13.8413     0.6014    90.8800    13.7504    -0.0135    13.9705
  286    5.700   2504.25    14.9026     0.0715    -0.1111     0.0570    14.8534     0.4892    91.2000    14.7622    -0.0118    14.9705
  287    5.720   2505.32    15.7268     0.0670    -0.0988     0.0572    15.6812     0.4356    91.5200    15.5897    -0.0106    15.7898
  288    5.740   2506.38    16.2887     0.0719    -0.1064     0.0574    16.2455     0.4445    91.8400    16.1536    -0.0099    16.3484
  289    5.760   2507.47    16.4923     0.0704    -0.1167     0.0576    16.4429     0.4289    92.1600    16.3507    -0.0107    16.5606
  290    5.780   2508.47    16.6574     0.0723    -0.0941     0.0578    16.6127     0.4362    92.4800    16.5202    -0.0099    16.7192
  291    5.800   2509.54    16.8232     0.0738    -0.0703     0.0580    16.7908     0.4395    92.8000    16.6980    -0.0081    16.8680
  292    5.820   2510.56    17.0936     0.0736    -0.0539     0.0582    17.0678     0.4308    93.1200    16.9747    -0.0070    17.1292
  293    5.840   2511.58    17.7766     0.0755    -0.0185     0.0584    17.7645     0.4264    93.4400    17.6710    -0.0049    17.7934
  294    5.860   2512.64    19.0915     0.0802     0.0119     0.0586    19.0899     0.4263    93.7600    18.9961    -0.0033    19.0937
  295    5.880   2513.64    20.4598     0.0875     0.0353     0.0588    20.4725     0.4333    94.0800    20.3784    -0.0014    20.4424
  296    5.900   2514.64    21.8076     0.0947     0.0269     0.0590    21.8238     0.4391    94.4000    21.7294    -0.0009    21.7851
  297    5.920   2515.57    22.8349     0.1000     0.0168     0.0592    22.8416     0.4408    94.7200    22.7469    -0.0019    22.8256
  298    5.940   2516.57    23.5833     0.0998     0.0091     0.0594    23.5879     0.4242    95.0400    23.4929    -0.0021    23.5770
  299    5.960   2517.53    23.6959     0.1003     0.0064     0.0596    23.6974     0.4229    95.3600    23.6020    -0.0024    23.6939
  300    5.980   2518.56    23.5516     0.1000     0.0192     0.0598    23.5619     0.4242    95.6800    23.4662    -0.0015    23.5372
  301    6.000   2519.59    23.6977     0.0938     0.0210     0.0600    23.7036     0.3970    96.0000    23.6076    -0.0019    23.6895
  302    6.020   2520.55    24.1169     0.0872     0.0317     0.0602    24.1285     0.3631    96.3200    24.0322    -0.0013    24.1008
  303    6.040   2521.55    24.7385     0.0827     0.0435     0.0604    24.7569     0.3357    96.6400    24.6602    -0.0007    24.7132
  304    6.060   2522.55    25.5060     0.0788    -0.0088     0.0606    25.5132     0.3105    96.9600    25.4162    -0.0017    25.4962
  305    6.080   2523.54    25.9335     0.0764    -0.0826     0.0608    25.9032     0.2955    97.2800    25.8060    -0.0051    25.9752
  306    6.100   2524.53    25.8736     0.0732    -0.0653     0.0610    25.8437     0.2822    97.6000    25.7461    -0.0051    25.9149
  307    6.120   2525.53    25.5586     0.0752    -0.0481     0.0612    25.5360     0.2936    97.9200    25.4381    -0.0045    25.5898
  308    6.140   2526.50    25.0377     0.0789    -0.0285     0.0614    25.0222     0.3129    98.2400    24.9240    -0.0039    25.0590
  309    6.160   2527.45    24.3135     0.0805    -0.0076     0.0616    24.3068     0.3297    98.5600    24.2083    -0.0032    24.3227
  310    6.180   2528.46    23.6034     0.0843     0.0131     0.0618    23.6078     0.3548    98.8800    23.5090    -0.0022    23.5972
  311    6.200   2529.47    22.9026     0.0895     0.0008     0.0620    22.9056     0.3885    99.2000    22.8064    -0.0024    22.8983
  312    6.220   2530.44    21.8762     0.0813    -0.0223     0.0622    21.8687     0.3626    99.5200    21.7692    -0.0037    21.8866
  313    6.240   2531.38    20.5662     0.0764     0.0054     0.0624    20.5645     0.3635    99.8400    20.4647    -0.0032    20.5685
  314    6.260   2532.44    18.5685     0.0730     0.0183     0.0626    18.5721     0.3809   100.1600    18.4719    -0.0029    18.5635
  315    6.280   2533.46    16.8154     0.0690     0.0308     0.0628    16.8268     0.4022   100.4800    16.7263    -0.0021    16.7996
  316    6.300   2534.56    15.5951     0.0667     0.0463     0.0630    15.6095     0.4221   100.8000    15.5087    -0.0019    15.5752
  317    6.320   2535.61    15.0585     0.0664     0.0415     0.0632    15.0746     0.4379   101.1200    14.9735    -0.0017    15.0362
  318    6.340   2536.67    14.7938     0.0840     0.0113     0.0634    14.8053     0.5632   101.4400    14.7039    -0.0024    14.7779
  319    6.360   2537.67    14.6205     0.0962    -0.0354     0.0636    14.6129     0.6564   101.7600    14.5111    -0.0056    14.6310
  320    6.380   2538.76    14.9621     0.0816    -0.0353     0.0638    14.9432     0.5532   102.0800    14.8411    -0.0073    14.9881
  321    6.400   2539.86    16.1102     0.0764    -0.0853     0.0640    16.0781     0.4815   102.4000    15.9757    -0.0088    16.1545
  322    6.420   2540.84    17.7156     0.0637    -0.0971     0.0642    17.6770     0.3620   102.7200    17.5743    -0.0089    17.7690
  323    6.440   2541.90    20.0991     0.0577    -0.1286     0.0644    20.0518     0.3018   103.0400    19.9488    -0.0089    20.1643
  324    6.460   2542.88    23.5840     0.0518    -0.1884     0.0646    23.5125     0.2229   103.3600    23.4092    -0.0100    23.6827
  325    6.480   2543.96    27.6113     0.0467    -0.2314     0.0648    27.5178     0.1743   103.6800    27.4142    -0.0105    27.7403
  326    6.500   2544.94    29.9831     0.0443    -0.2678     0.0650    29.8809     0.1494   104.0000    29.7769    -0.0103    30.1241
  327    6.520   2545.95    30.9331     0.0452    -0.2583     0.0652    30.8238     0.1465   104.3200    30.7195    -0.0106    31.0839
  328    6.540   2546.94    30.5602     0.0425    -0.2588     0.0654    30.4522     0.1380   104.6400    30.3475    -0.0106    30.7095
  329    6.560   2547.95    29.4386     0.0556    -0.2576     0.0656    29.3303     0.1867   104.9600    29.2254    -0.0111    29.5880
  330    6.580   2548.89    27.6760     0.0628    -0.2515     0.0658    27.5695     0.2231   105.2800    27.4642    -0.0116    27.8232
  331    6.600   2549.86    25.8540     0.0708    -0.2433     0.0660    25.7504     0.2715   105.6000    25.6448    -0.0122    25.9971
  332    6.620   2550.81    24.0974     0.0755    -0.2433     0.0662    23.9968     0.3128   105.9200    23.8909    -0.0128    24.2363
  333    6.640   2551.78    22.3720     0.0764    -0.2360     0.0664    22.2715     0.3376   106.2400    22.1652    -0.0138    22.5109
  334    6.660   2552.77    20.8021     0.0745    -0.2219     0.0666    20.7059     0.3531   106.5600    20.5994    -0.0143    20.9348
  335    6.680   2553.75    19.1271     0.0790    -0.1902     0.0668    19.0427     0.4105   106.8800    18.9358    -0.0141    19.2436
  336    6.700   2554.82    17.3364     0.0818    -0.1552     0.0670    17.2666     0.4673   107.2000    17.1594    -0.0136    17.4328
  337    6.720   2559.94    15.8530     0.0824    -0.0910     0.0672    15.8025     0.5151   107.5200    15.6949    -0.0118    15.9227
  338    6.740   2578.62    15.1828     0.0879    -0.0061     0.0674    15.1679     0.5494   107.8400    15.0601    -0.0065    15.2033
  339    6.760   2597.31    14.5126     0.0812     0.0478     0.0676    14.5334     0.5096   108.1600    14.4252    -0.0012    14.4839
  340    6.780   2598.77    15.1305     0.0675     0.0642     0.0678    15.1554     0.4566   108.4800    15.0469    -0.0006    15.0962
  341    6.800   2599.79    16.7073     0.0542     0.0315     0.0680    16.7271     0.3276   108.8000    16.6183    -0.0012    16.6799
  342    6.820   2600.85    18.8548     0.0425    -0.1536     0.0682    18.8228     0.2291   109.1200    18.7136    -0.0077    18.8991
  343    6.840   2601.85    20.0903     0.0362    -0.2608     0.0684    19.9887     0.1808   109.4400    19.8793    -0.0156    20.2306
  344    6.860   2602.84    20.1209     0.0316    -0.2725     0.0686    20.0058     0.1564   109.7600    19.8960    -0.0172    20.2799
  345    6.880   2603.80    19.4463     0.0374    -0.2713     0.0688    19.3325     0.1889   110.0800    19.2224    -0.0177    19.6033
  346    6.900   2604.80    18.2583     0.0445    -0.2631     0.0690    18.1468     0.2371   110.4000    18.0364    -0.0185    18.4122
  347    6.920   2605.78    17.1397     0.0542    -0.2517     0.0692    17.0319     0.3103   110.7200    16.9212    -0.0193    17.2885
  348    6.940   2606.85    16.3050     0.0590    -0.2354     0.0694    16.2035     0.3565   111.0400    16.0924    -0.0193    16.4453
  349    6.960   2607.89    16.0322     0.0692    -0.2139     0.0696    15.9382     0.4315   111.3600    15.8268    -0.0185    16.1620
  350    6.980   2608.95    16.4307     0.0736    -0.1831     0.0698    16.3484     0.4540   111.6800    16.2367    -0.0164    16.5443
  351    7.000   2610.02    17.0377     0.0690    -0.1378     0.0700    16.9726     0.4116   112.0000    16.8606    -0.0133    17.1275
  352    7.020   2611.01    17.7243     0.0638    -0.0845     0.0702    17.6831     0.3645   112.3200    17.5708    -0.0096    17.7811
  353    7.040   2612.08    18.1992     0.0576    -0.0640     0.0704    18.1717     0.3183   112.6400    18.0591    -0.0075    18.2371
  354    7.060   2613.10    18.7459     0.0520    -0.0790     0.0706    18.7174     0.2811   112.9600    18.6045    -0.0074    18.7851
  355    7.080   2614.14    19.7403     0.0524    -0.0886     0.0708    19.6987     0.2726   113.2800    19.5854    -0.0087    19.7979
  356    7.100   2615.19    20.5664     0.0581    -0.0812     0.0710    20.5295     0.2859   113.6000    20.4159    -0.0078    20.6173
  357    7.120   2616.14    20.6570     0.0600    -0.1075     0.0712    20.6122     0.2897   113.9200    20.4983    -0.0087    20.7188
  358    7.140   2617.19    19.9901     0.0592    -0.0923     0.0714    19.9522     0.2920   114.2400    19.8380    -0.0082    20.0426
  359    7.160   2618.16    19.0092     0.0622    -0.0698     0.0716    18.9775     0.3221   114.5600    18.8629    -0.0078    19.0531
  360    7.180   2619.26    17.7669     0.0642    -0.0568     0.0718    17.7418     0.3510   114.8800    17.6269    -0.0075    17.8016
  361    7.200   2620.33    17.1064     0.0696    -0.0245     0.0720    17.0906     0.4032   115.2000    16.9754    -0.0065    17.1282
  362    7.220   2621.34    16.6760     0.0838     0.0001     0.0722    16.6711     0.4971   115.5200    16.5556    -0.0051    16.6828
  363    7.240   2622.37    16.1995     0.0876     0.0152     0.0724    16.2028     0.5328   115.8400    16.0870    -0.0040    16.1950
