

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2019.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :06-May-2022
                         time          :10:32:12
 Project number                        :20024805
 Date of testing                       :28-Apr-2022
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2019
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1723.41     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1724.39     0.0034                0.0002     0.0002     0.0034                0.3200     0.0031    -0.0157
    3    0.040   1725.29     0.0040                0.0004     0.0004     0.0041                0.6400     0.0035    -0.0265
    4    0.060   1726.22     0.0031                0.0007     0.0006     0.0033                0.9600     0.0024    -0.0050
    5    0.080   1727.16     0.0040     0.0005     0.0010     0.0008     0.0044    14.3118     1.2800     0.0031     0.0434
    6    0.100   1728.10     0.0046     0.0006     0.0011     0.0010     0.0050    11.8737     1.6000     0.0034     0.0013
    7    0.120   1729.01     0.0019     0.0006     0.0014     0.0012     0.0024    95.3575     1.9200     0.0005     0.0391
    8    0.140   1730.00     0.0026     0.0005     0.0012     0.0014     0.0031    12.9317     2.2400     0.0008    -0.2206
    9    0.160   1730.99     0.0047     0.0003     0.0018     0.0016     0.0054     8.1175     2.5600     0.0028    -0.1301
   10    0.180   1732.01     0.0025     0.0006     0.0019     0.0018     0.0032    31.6249     2.8800     0.0004    -0.1093
   11    0.200   1732.95     0.0003     0.0005     0.0021     0.0020     0.0012    65.5456     3.2000    -0.0020    -0.0700
   12    0.220   1733.81     0.0045     0.0005     0.0024     0.0022     0.0055    71.7806     3.5200     0.0019     0.0408
   13    0.240   1734.77     0.0023     0.0003     0.0026     0.0024     0.0034    19.3603     3.8400    -0.0004    -1.4942
   14    0.260   1735.73     0.0057     0.0003     0.0028     0.0026     0.0068     7.4631     4.1600     0.0026     0.0447
   15    0.280   1736.74     0.0033     0.0003     0.0031     0.0028     0.0045     5.8205     4.4800     0.0001    -0.2663
   16    0.300   1737.60     0.0039     0.0002     0.0031     0.0030     0.0052     5.8601     4.8000     0.0004     0.4095
   17    0.320   1738.48     0.0046     0.0005     0.0032     0.0032     0.0060    11.8175     5.1200     0.0008     0.1415
   18    0.340   1739.41     0.0033     0.0006     0.0035     0.0034     0.0047    19.7445     5.4400    -0.0007     0.1681
   19    0.360   1740.50     0.0041     0.0005     0.0035     0.0036     0.0055    12.6900     5.7600    -0.0003     0.3001
   20    0.380   1741.48     0.0045     0.0004     0.0040     0.0038     0.0062     7.6914     6.0800     0.0001           
   21    0.400   1742.40     0.0051     0.0005     0.0041     0.0040     0.0068    10.5157     6.4000     0.0004    -0.3065
   22    0.420   1743.34     0.0025     0.0004     0.0045     0.0042     0.0044    17.1433     6.7200    -0.0023    -0.0908
   23    0.440   1744.26     0.0048     0.0004     0.0046     0.0044     0.0067    14.6702     7.0400    -0.0003     0.1866
   24    0.460   1745.25     0.0052     0.0002     0.0049     0.0046     0.0072    10.4634     7.3600    -0.0001     0.0600
   25    0.480   1746.17     0.0059     0.0004     0.0049     0.0048     0.0080     8.0585     7.6800     0.0003    -0.1790
   26    0.500   1747.03     0.0066     0.0005     0.0053     0.0050     0.0088     6.7279     8.0000     0.0008     0.3371
   27    0.520   1747.97     0.0068     0.0003     0.0051     0.0052     0.0090     4.7579     8.3200     0.0007    -0.2646
   28    0.540   1748.87     0.0039     0.0004     0.0052     0.0054     0.0061     8.9288     8.6400    -0.0025    -0.0312
   29    0.560   1749.89     0.0061     0.0007     0.0055     0.0056     0.0083    11.6084     8.9600    -0.0006     0.2735
   30    0.580   1750.94     0.0063     0.0005     0.0059     0.0058     0.0087     7.9414     9.2800    -0.0005    -0.1006
   31    0.600   1751.89     0.0045     0.0005     0.0065     0.0060     0.0072     5.7313     9.6000    -0.0024    -0.1997
   32    0.620   1752.78     0.0103     0.0005     0.0066     0.0062     0.0131     7.5236     9.9200     0.0032     0.0116
   33    0.640   1753.65     0.0101     0.0007     0.0067     0.0064     0.0129     8.8435    10.2400     0.0026     0.4218
   34    0.660   1754.57     0.0068     0.0009     0.0067     0.0066     0.0096    15.4652    10.5600    -0.0010     0.0062
   35    0.680   1755.52     0.0117     0.0006     0.0067     0.0068     0.0145     6.0289    10.8800     0.0037    -0.0041
   36    0.700   1756.53     0.0142     0.0006     0.0067     0.0070     0.0170     5.0229    11.2000     0.0058    -0.0368
