

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1003.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :05-Jul-2022
                         time          :21:33:43
 Project number                        :20024805                                                                                            
 Date of testing                       :26-Jun-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1003
 Penetrometer                          :F7.5CKE2HAW2/B/3285
 Serial no                             :1701-3285

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1869.78     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1870.70     0.0027                0.0003     0.0002     0.0027                0.3200     0.0024    -0.0306
    3    0.040   1871.66     0.0026                0.0004     0.0004     0.0028                0.6400     0.0022     0.0304
    4    0.060   1872.60     0.0033                0.0008     0.0006     0.0036                0.9600     0.0027     0.0497
    5    0.080   1873.55     0.0012     0.0001     0.0010     0.0008     0.0016     5.0133     1.2800     0.0003     0.3906
    6    0.100   1874.48     0.0030     0.0002     0.0011     0.0010     0.0034    10.6130     1.6000     0.0018     0.1074
    7    0.120   1875.43     0.0021     0.0004     0.0013     0.0012     0.0026    16.2127     1.9200     0.0007     0.0061
    8    0.140   1876.33     0.0065     0.0003     0.0015     0.0014     0.0072    13.0813     2.2400     0.0049     0.0248
    9    0.160   1877.30     0.0079     0.0006     0.0017     0.0016     0.0086     9.9275     2.5600     0.0061     0.0278
   10    0.180   1882.00     0.0115     0.0005     0.0015     0.0018     0.0121     4.9646     2.8800     0.0093    -0.0192
   11    0.200   1890.40     0.0128     0.0007     0.0012     0.0020     0.0134     6.3115     3.2000     0.0102    -0.0609
   12    0.220   1898.80     0.0142     0.0007     0.0009     0.0022     0.0146     6.5919     3.5200     0.0111    -0.1027
   13    0.240   1904.15     0.0152     0.0005     0.0006     0.0024     0.0154     4.1208     3.8400     0.0116    -0.1562
   14    0.260   1905.09     0.0150     0.0008     0.0011     0.0026     0.0154     5.4847     4.1600     0.0113    -0.1465
   15    0.280   1906.02     0.0147     0.0009     0.0017     0.0028     0.0154     6.3800     4.4800     0.0109    -0.1223
   16    0.300   1906.94     0.0171     0.0009     0.0014     0.0030     0.0177     5.9478     4.8000     0.0129    -0.1375
   17    0.320   1907.88     0.0192     0.0011     0.0014     0.0032     0.0196     5.4722     5.1200     0.0145    -0.1518
   18    0.340   1908.79     0.0160     0.0012     0.0019     0.0034     0.0167     7.5638     5.4400     0.0113    -0.1425
   19    0.360   1909.70     0.0161     0.0008     0.0025     0.0036     0.0171     4.1833     5.7600     0.0114    -0.1089
   20    0.380   1910.64     0.0150     0.0010     0.0037     0.0038     0.0163     6.8096     6.0800     0.0103    -0.0524
   21    0.400   1911.57     0.0143     0.0009     0.0047     0.0040     0.0161     5.9718     6.4000     0.0097     0.0331
   22    0.420   1912.44     0.0144     0.0010     0.0059     0.0042     0.0166     7.1364     6.7200     0.0099     0.1162
   23    0.440   1913.39     0.0149     0.0010     0.0069     0.0044     0.0177     6.5646     7.0400     0.0106     0.2041
   24    0.460   1914.26     0.0149     0.0008     0.0072     0.0046     0.0179     5.8361     7.3600     0.0105     0.2373
   25    0.480   1915.21     0.0164     0.0010     0.0075     0.0048     0.0195     5.7501     7.6800     0.0118     0.2259
   26    0.500   1917.38     0.0209     0.0011     0.0085     0.0050     0.0244     5.5557     8.0000     0.0164     0.2077
   27    0.520   1918.86     0.0259     0.0013     0.0059     0.0052     0.0289     5.2657     8.3200     0.0206     0.1008
   28    0.540   1919.80     0.0295     0.0011     0.0048     0.0054     0.0317     3.7065     8.6400     0.0231    -0.0131
   29    0.560   1920.72     0.0263     0.0012     0.0041     0.0056     0.0282     4.5502     8.9600     0.0193    -0.0521
   30    0.580   1921.65     0.0287     0.0013     0.0030     0.0058     0.0300     4.6415     9.2800     0.0207    -0.1244
   31    0.600   1922.63     0.0274     0.0015     0.0044     0.0060     0.0289     5.3958     9.6000     0.0193    -0.1217
   32    0.620   1923.49     0.0268     0.0016     0.0039     0.0062     0.0287     5.8504     9.9200     0.0188    -0.0799
   33    0.640   1924.39     0.0267     0.0017     0.0054     0.0064     0.0289     6.6358    10.2400     0.0187    -0.0593
   34    0.660   1925.32     0.0270     0.0015     0.0071     0.0066     0.0297     5.6255    10.5600     0.0192     0.0005
   35    0.680   1926.26     0.0274     0.0015     0.0035     0.0068     0.0293     5.5288    10.8800     0.0184    -0.1298
   36    0.700   1927.17     0.0257     0.0016     0.0060     0.0070     0.0278     6.2238    11.2000     0.0166    -0.1207
   37    0.720   1928.07     0.0253     0.0017     0.0083     0.0072     0.0285     6.7806    11.5200     0.0170     0.0290
   38    0.740   1928.99     0.0223     0.0016     0.0090     0.0074     0.0260     6.8133    11.8400     0.0142     0.1007
   39    0.760   1929.89     0.0234     0.0015     0.0099     0.0076     0.0274     6.1337    12.1600     0.0152     0.1270
   40    0.780   1931.31     0.0233     0.0014     0.0099     0.0078     0.0275     6.1006    12.4800     0.0150     0.1484
   41    0.800   1954.48     0.0239     0.0013     0.0093     0.0080     0.0279     5.5030    12.8000     0.0151     0.0998
   42    0.820   1971.57     0.0233     0.0012     0.0093     0.0082     0.0271     4.9503    13.1200     0.0140     0.0717
   43    0.840   1972.49     0.0212     0.0011     0.0088     0.0084     0.0251     5.3940    13.4400     0.0116     0.0770
   44    0.860   1973.41     0.0239     0.0014     0.0094     0.0086     0.0277     5.7974    13.7600     0.0140     0.0395
   45    0.880   1974.34     0.0199     0.0011     0.0113     0.0088     0.0246     4.7406    14.0800     0.0105     0.2294
   46    0.900   1975.23     0.0231     0.0016     0.0110     0.0090     0.0279     6.9193    14.4000     0.0135     0.1865
   47    0.920   1976.13     0.0252     0.0013     0.0119     0.0092     0.0299     5.1501    14.7200     0.0152     0.1474
   48    0.940   1977.05     0.0269     0.0012     0.0120     0.0094     0.0320     4.7846    15.0400     0.0170     0.1629
   49    0.960   1977.97     0.0253     0.0012     0.0117     0.0096     0.0301     4.5935    15.3600     0.0147     0.1201
   50    0.980   1978.90     0.0250     0.0011     0.0123     0.0098     0.0299     4.5856    15.6800     0.0142     0.1201
   51    1.000   1979.83     0.0281     0.0010     0.0142     0.0100     0.0337     3.7247    16.0000     0.0177     0.1819
   52    1.020   1980.76     0.0284     0.0014     0.0160     0.0102     0.0349     4.9368    16.3200     0.0185     0.2801
   53    1.040   1981.71     0.0323     0.0017     0.0163     0.0104     0.0392     5.2765    16.6400     0.0226     0.2686
   54    1.060   1982.63     0.0433     0.0017     0.0164     0.0106     0.0502     4.4093    16.9600     0.0333     0.1747
   55    1.080   1983.71     0.0453     0.0020     0.0172     0.0108     0.0527     4.6781    17.2800     0.0354     0.1955
   56    1.100   1984.74     0.0468     0.0022     0.0127     0.0110     0.0525     4.6736    17.6000     0.0349     0.0736
   57    1.120   1985.77     0.0584     0.0023     0.0106     0.0112     0.0629     4.1068    17.9200     0.0449    -0.0140
   58    1.140   1986.78     0.0625     0.0029     0.0098     0.0114     0.0662     4.7406    18.2400     0.0479    -0.0556
   59    1.160   1987.77     0.0636     0.0028     0.0091     0.0116     0.0684     4.4556    18.5600     0.0498    -0.0056
   60    1.180   1988.79     0.0603     0.0032     0.0084     0.0118     0.0640     5.3158    18.8800     0.0451    -0.0667
   61    1.200   1989.79     0.0572     0.0028     0.0081     0.0120     0.0606     4.8420    19.2000     0.0414    -0.0963
   62    1.220   1990.79     0.0531     0.0029     0.0093     0.0122     0.0570     5.4374    19.5200     0.0375    -0.0782
   63    1.240   1991.77     0.0509     0.0033     0.0126     0.0124     0.0555     6.3732    19.8400     0.0356    -0.0386
   64    1.260   1992.79     0.0496     0.0031     0.0152     0.0126     0.0557     6.2845    20.1600     0.0355     0.0528
   65    1.280   1993.77     0.0525     0.0029     0.0179     0.0128     0.0596     5.4482    20.4800     0.0391     0.1056
   66    1.300   1994.74     0.0490     0.0028     0.0205     0.0130     0.0572     5.7360    20.8000     0.0364     0.1759
   67    1.320   1995.72     0.0555     0.0030     0.0221     0.0132     0.0647     5.4726    21.1200     0.0436     0.2020
