

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-1039.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :21-Apr-2022
                         time          :15:40:02
 Project number                        :20024805                                                                                            
 Date of testing                       :14-Apr-2022                                                                                         
 Location                              :Hong Kong Offshore Wind Farm Project                                                                
 Test name                             :CPT-1039
 Penetrometer                          :F7.5CKE2HAW2/B/3342
 Serial no                             :1701-3342

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1346.16     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1347.11     0.0015                0.0004     0.0002     0.0016                0.3200     0.0013     0.0521
    3    0.040   1348.04     0.0013                0.0008     0.0004     0.0016                0.6400     0.0010     0.3401
    4    0.060   1348.98     0.0023                0.0011     0.0006     0.0028                0.9600     0.0018     0.2996
    5    0.080   1349.91     0.0016     0.0003     0.0014     0.0008     0.0021    16.7364     1.2800     0.0008     0.5600
    6    0.100   1350.90     0.0023     0.0003     0.0016     0.0010     0.0030    15.9800     1.6000     0.0014     0.4576
    7    0.120   1351.83     0.0035     0.0002     0.0016     0.0012     0.0041     7.3968     1.9200     0.0022     0.2174
    8    0.140   1352.76     0.0025     0.0004     0.0018     0.0014     0.0033    15.4980     2.2400     0.0010     0.6064
    9    0.160   1353.70     0.0068     0.0005     0.0017     0.0016     0.0075    12.6267     2.5600     0.0049     0.0514
   10    0.180   1354.63     0.0062     0.0005     0.0019     0.0018     0.0071     6.5207     2.8800     0.0042     0.0737
   11    0.200   1355.59     0.0117     0.0006     0.0018     0.0020     0.0126     7.1069     3.2000     0.0094     0.0067
   12    0.220   1356.54     0.0151     0.0009     0.0013     0.0022     0.0156     6.9793     3.5200     0.0121    -0.0772
   13    0.240   1357.51     0.0136     0.0009     0.0007     0.0024     0.0140     7.8451     3.8400     0.0102    -0.1377
   14    0.260   1358.45     0.0140     0.0009    -0.0003     0.0026     0.0141     6.5556     4.1600     0.0099    -0.2515
   15    0.280   1359.36     0.0115     0.0012    -0.0007     0.0028     0.0112    10.5992     4.4800     0.0067    -0.5408
   16    0.300   1360.32     0.0162     0.0013     0.0000     0.0030     0.0163     8.3418     4.8000     0.0115    -0.2497
   17    0.320   1361.29     0.0162     0.0011     0.0008     0.0032     0.0165     6.7177     5.1200     0.0114    -0.2206
   18    0.340   1362.27     0.0163     0.0013     0.0015     0.0034     0.0169     8.7983     5.4400     0.0114    -0.1770
   19    0.360   1363.22     0.0165     0.0014     0.0028     0.0036     0.0173     9.5887     5.7600     0.0116    -0.1341
   20    0.380   1364.13     0.0148     0.0012     0.0028     0.0038     0.0162     6.4896     6.0800     0.0102    -0.0324
   21    0.400   1365.10     0.0191     0.0015     0.0028     0.0040     0.0202     7.7784     6.4000     0.0138    -0.0899
   22    0.420   1366.04     0.0199     0.0018     0.0030     0.0042     0.0212    11.1814     6.7200     0.0145    -0.0740
   23    0.440   1366.96     0.0184     0.0016     0.0014     0.0044     0.0192     9.6721     7.0400     0.0121    -0.2007
   24    0.460   1367.90     0.0163     0.0019     0.0014     0.0046     0.0169    11.2938     7.3600     0.0095    -0.3491
   25    0.480   1368.86     0.0185     0.0023     0.0018     0.0048     0.0192    12.8878     7.6800     0.0115    -0.2745
   26    0.500   1369.85     0.0141     0.0025     0.0020     0.0050     0.0148    18.3006     8.0000     0.0068    -0.5012
   27    0.520   1370.76     0.0164     0.0024     0.0030     0.0052     0.0176    15.0696     8.3200     0.0093    -0.2546
   28    0.540   1371.71     0.0174     0.0022     0.0041     0.0054     0.0189    13.1444     8.6400     0.0103    -0.1880
   29    0.560   1375.71     0.0147     0.0023     0.0040     0.0056     0.0164    12.8869     8.9600     0.0075     0.0053
   30    0.580   1381.88     0.0082     0.0024     0.0037     0.0058     0.0098    12.7933     9.2800     0.0005     0.1948
   31    0.600   1388.05     0.0017     0.0023     0.0040     0.0060     0.0032    47.3544     9.6000    -0.0064     0.3844
   32    0.620   1389.10     0.0022     0.0025     0.0049     0.0062     0.0042   178.8580     9.9200    -0.0057     0.2505
   33    0.640   1390.05     0.0028     0.0027     0.0051     0.0064     0.0049   115.4861    10.2400    -0.0053     0.2566
   34    0.660   1391.00     0.0034     0.0023     0.0056     0.0066     0.0056    53.7508    10.5600    -0.0049     0.2902
   35    0.680   1391.95     0.0015     0.0021     0.0062     0.0068     0.0041   331.1089    10.8800    -0.0068     0.1197
   36    0.700   1392.91     0.0043     0.0021     0.0068     0.0070     0.0071   271.1378    11.2000    -0.0041     0.1200
   37    0.720   1393.87     0.0012     0.0020     0.0084     0.0072     0.0045   199.0287    11.5200    -0.0071    -0.0821
   38    0.740   1394.80     0.0020     0.0017     0.0093     0.0074     0.0057   102.8862    11.8400    -0.0061    -0.2672
   39    0.760   1395.75     0.0030     0.0019     0.0101     0.0076     0.0071    75.5972    12.1600    -0.0050    -0.5058
   40    0.780   1396.97     0.0065     0.0019     0.0106     0.0078     0.0110    33.9535    12.4800    -0.0015    -2.0117
   41    0.800   1420.09     0.0086     0.0018     0.0097     0.0080     0.0128    88.9345    12.8000     0.0000    -1.1971
   42    0.820   1445.80     0.0109     0.0023     0.0088     0.0082     0.0147   109.2868    13.1200     0.0016    -0.0906
   43    0.840   1454.31     0.0138     0.0019     0.0103     0.0084     0.0178    14.8473    13.4400     0.0044     0.2473
   44    0.860   1455.32     0.0138     0.0016     0.0119     0.0086     0.0184    10.8506    13.7600     0.0047     0.5342
   45    0.880   1456.26     0.0115     0.0019     0.0128     0.0088     0.0168    14.8002    14.0800     0.0027     1.4056
   46    0.900   1457.22     0.0142     0.0016     0.0127     0.0090     0.0196    13.5292    14.4000     0.0052     0.7814
   47    0.920   1458.17     0.0168     0.0020     0.0133     0.0092     0.0224    11.8912    14.7200     0.0077     0.5513
   48    0.940   1459.11     0.0184     0.0020     0.0142     0.0094     0.0242    14.9026    15.0400     0.0092     0.5182
   49    0.960   1460.06     0.0184     0.0019     0.0150     0.0096     0.0247    10.9250    15.3600     0.0093     0.5667
   50    0.980   1460.98     0.0209     0.0017     0.0154     0.0098     0.0273     7.7985    15.6800     0.0116     0.4809
   51    1.000   1461.94     0.0205     0.0016     0.0161     0.0100     0.0271     7.9675    16.0000     0.0111     0.5200
   52    1.020   1462.88     0.0187     0.0019     0.0163     0.0102     0.0255     9.7014    16.3200     0.0091     0.6500
   53    1.040   1463.84     0.0232     0.0020     0.0164     0.0104     0.0302     9.0570    16.6400     0.0135     0.4837
   54    1.060   1464.77     0.0211     0.0017     0.0163     0.0106     0.0279     8.8196    16.9600     0.0110     0.5216
   55    1.080   1465.71     0.0204     0.0019     0.0162     0.0108     0.0272     9.3422    17.2800     0.0099     0.5463
   56    1.100   1466.65     0.0220     0.0020     0.0161     0.0110     0.0289     8.6879    17.6000     0.0113     0.4712
   57    1.120   1467.57     0.0200     0.0021     0.0166     0.0112     0.0269     9.2182    17.9200     0.0090     0.5834
   58    1.140   1468.54     0.0219     0.0017     0.0174     0.0114     0.0291     7.9619    18.2400     0.0108     0.5315
   59    1.160   1469.52     0.0238     0.0021     0.0187     0.0116     0.0314     9.5180    18.5600     0.0129     0.5062
   60    1.180   1470.41     0.0239     0.0022     0.0201     0.0118     0.0322     8.5832    18.8800     0.0133     0.6007
   61    1.200   1471.36     0.0241     0.0021     0.0203     0.0120     0.0326     8.9594    19.2000     0.0134     0.6273
   62    1.220   1472.34     0.0246     0.0022     0.0200     0.0122     0.0329     9.1222    19.5200     0.0134     0.5741
   63    1.240   1473.30     0.0273     0.0021     0.0205     0.0124     0.0358     8.1142    19.8400     0.0160     0.4897
   64    1.260   1474.20     0.0252     0.0021     0.0207     0.0126     0.0339     7.8379    20.1600     0.0137     0.5876
   65    1.280   1475.13     0.0227     0.0021     0.0209     0.0128     0.0315     8.9579    20.4800     0.0110     0.7470
   66    1.300   1476.10     0.0243     0.0019     0.0217     0.0130     0.0333     8.2555    20.8000     0.0125     0.6740
   67    1.320   1477.07     0.0229     0.0015     0.0225     0.0132     0.0322     6.7234    21.1200     0.0110     0.8111
   68    1.340   1478.00     0.0205     0.0015     0.0236     0.0134     0.0303     7.4228    21.4400     0.0088     1.1183
   69    1.360   1478.94     0.0211     0.0019     0.0245     0.0136     0.0313     8.7468    21.7600     0.0095     1.1388
   70    1.380   1479.91     0.0231     0.0018     0.0248     0.0138     0.0335     8.0921    22.0800     0.0114     0.9528
   71    1.400   1480.85     0.0271     0.0019     0.0246     0.0140     0.0375     7.3574    22.4000     0.0151     0.7261
   72    1.420   1481.78     0.0254     0.0018     0.0238     0.0142     0.0354     7.1704    22.7200     0.0127     0.7786
   73    1.440   1482.73     0.0258     0.0021     0.0241     0.0144     0.0359     7.7888    23.0400     0.0128     0.7448
   74    1.460   1483.64     0.0289     0.0022     0.0240     0.0146     0.0388     7.5613    23.3600     0.0155     0.5915
