

 Program UNIPLOT                         version 05.36.02
 _______________
 (c) Fugro Netherlands Marine, Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 The reference level for test values is (1) the ground surface for onshore tests and (2) the seafloor for nearshore and offshore tests.

 UNICAS data file          : CPT-2024.000                            
 Output using command file : PlotASCII.cmd

 ASCII file created at : date          :11-Dec-2021
                         time          :09:48:09
 Project number                        :20024805
 Date of testing                       :10-Dec-2021
 Location                              :Hong Kong Offshore Wind Farm Project
 Test name                             :CPT-2024
 Penetrometer                          :F7.5CKE2HAW2/B/3284
 Serial no                             :1701-3284

 Table description:
 Column ID                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 HydroPress                            :Hydrostatic Pressure, Hydrostatic Pressure [MPa]
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]
 SigmaVert                             :Vertical stress, Vertical stress [kPa] as specified in ground model
 Qnet                                  :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model


 Data table:
  Rec    Depth      Time       Cone   Friction     Pore 2 HydroPress         qt Fric_ratio  SigmaVert       Qnet         Bq
   No        m         s        MPa        MPa        MPa        MPa        MPa          %        kPa        MPa          -
    1    0.000   1578.69     0.0000                           0.0000     0.0000                0.0000     0.0000           
    2    0.020   1617.54     0.0226               -0.0002     0.0002     0.0228                0.3200     0.0225     0.0175
    3    0.040   1618.49     0.0239               -0.0010     0.0004     0.0236                0.6400     0.0230    -0.0484
    4    0.060   1619.43     0.0258     0.0002    -0.0015     0.0006     0.0252     0.9526     0.9600     0.0243    -0.0796
    5    0.080   1620.38     0.0268     0.0008    -0.0018     0.0008     0.0261     2.9446     1.2800     0.0248    -0.1050
    6    0.100   1621.34     0.0295     0.0009    -0.0006     0.0010     0.0292     3.2653     1.6000     0.0276    -0.0690
    7    0.120   1622.29     0.0280     0.0009    -0.0008     0.0012     0.0279     3.2894     1.9200     0.0259    -0.0591
    8    0.140   1623.24     0.0301     0.0010     0.0008     0.0014     0.0301     3.2565     2.2400     0.0278    -0.0513
    9    0.160   1624.19     0.0340     0.0012     0.0011     0.0016     0.0342     3.6957     2.5600     0.0316    -0.0355
   10    0.180   1625.15     0.0389     0.0017     0.0009     0.0018     0.0395     4.3578     2.8800     0.0367    -0.0104
   11    0.200   1626.08     0.0393     0.0018     0.0004     0.0020     0.0395     4.9999     3.2000     0.0363    -0.0466
   12    0.220   1627.03     0.0393     0.0017     0.0003     0.0022     0.0395     4.2331     3.5200     0.0360    -0.0473
   13    0.240   1628.01     0.0402     0.0017     0.0000     0.0024     0.0402     3.8443     3.8400     0.0364    -0.0676
   14    0.260   1628.94     0.0429     0.0018    -0.0001     0.0026     0.0429     4.1812     4.1600     0.0387    -0.0672
   15    0.280   1629.91     0.0390     0.0017    -0.0010     0.0028     0.0386     4.2528     4.4800     0.0341    -0.1057
   16    0.300   1630.85     0.0425     0.0017    -0.0006     0.0030     0.0422     4.1191     4.8000     0.0374    -0.1003
   17    0.320   1631.80     0.0442     0.0021    -0.0004     0.0032     0.0440     4.9188     5.1200     0.0389    -0.0911
   18    0.340   1632.78     0.0442     0.0021     0.0007     0.0034     0.0442     4.7883     5.4400     0.0388    -0.0835
   19    0.360   1633.73     0.0435     0.0021     0.0016     0.0036     0.0439     4.6634     5.7600     0.0382    -0.0683
   20    0.380   1634.69     0.0474     0.0019     0.0031     0.0038     0.0484     4.1061     6.0800     0.0423    -0.0323
   21    0.400   1635.63     0.0455     0.0020     0.0048     0.0040     0.0473     4.1197     6.4000     0.0409     0.0053
   22    0.420   1636.57     0.0451     0.0019     0.0060     0.0042     0.0475     3.9513     6.7200     0.0408     0.0379
   23    0.440   1637.51     0.0482     0.0020     0.0066     0.0044     0.0509     4.3524     7.0400     0.0438     0.0446
   24    0.460   1638.45     0.0457     0.0020     0.0076     0.0046     0.0488     4.5720     7.3600     0.0414     0.0662
   25    0.480   1639.40     0.0478     0.0019     0.0075     0.0048     0.0510     4.2093     7.6800     0.0433     0.0670
   26    0.500   1640.35     0.0507     0.0016     0.0080     0.0050     0.0540     3.1191     8.0000     0.0460     0.0614
   27    0.520   1641.31     0.0483     0.0018     0.0083     0.0052     0.0518     3.7947     8.3200     0.0435     0.0719
   28    0.540   1642.30     0.0521     0.0013     0.0088     0.0054     0.0557     2.4074     8.6400     0.0470     0.0674
   29    0.560   1643.26     0.0536     0.0018     0.0095     0.0056     0.0576     3.3508     8.9600     0.0487     0.0793
   30    0.580   1644.21     0.0531     0.0018     0.0102     0.0058     0.0573     3.5803     9.2800     0.0481     0.0883
   31    0.600   1645.13     0.0561     0.0018     0.0107     0.0060     0.0604     3.3358     9.6000     0.0508     0.0870
   32    0.620   1646.11     0.0564     0.0017     0.0109     0.0062     0.0610     2.9518     9.9200     0.0511     0.0907
   33    0.640   1647.07     0.0632     0.0013     0.0113     0.0064     0.0679     2.2197    10.2400     0.0577     0.0834
   34    0.660   1648.02     0.0595     0.0016     0.0121     0.0066     0.0644     2.6316    10.5600     0.0539     0.0976
   35    0.680   1648.99     0.0614     0.0016     0.0120     0.0068     0.0665     2.7061    10.8800     0.0556     0.0954
   36    0.700   1649.98     0.0636     0.0014     0.0118     0.0070     0.0686     2.2758    11.2000     0.0574     0.0853
   37    0.720   1650.94     0.0636     0.0017     0.0115     0.0072     0.0684     2.6401    11.5200     0.0569     0.0761
   38    0.740   1651.86     0.0676     0.0017     0.0114     0.0074     0.0724     2.5827    11.8400     0.0605     0.0651
