index,depth,fr,delta_ord,orc,tf_sand,tf_clay,tf_adop_tension,tf_adop_compression,iz1,lc,qs_tension,qs_compression,qb1_clay,qb1_sand,qp_clay,qp_sand,Q_b_sand,Q_b_clay,ifr_value,diameter,are_value,area_value,dstar_value,depth,h,fr_percent,qt,gtot,u0_kpa,sig_v0,sig_v0_prime,qtn,n,bq,kc,qtc,,tipdepth,tension_capacity,compression_capacity,Q_shaft,Q_b
13,1.4,1.764449195,0,0,0,2.038656029,2.038656029,2.038656029,13.06153803,2.745970604,18.67230493,18.75225355,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.4,71.6,1.764449195,0.085146667,12.24055324,13.734,17.13677454,3.402774536,14.07632405,0.897097025,-0.20194121,1,0.085146667,,1.3,48.11305832,48.37014402,18.75225355,29.61789047
14,1.5,1.478398649,0,0,0,2.330495825,2.330495825,2.330495825,12.8417956,2.698384716,21.23481893,21.31476754,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.5,71.5,1.478398649,0.097301667,12.25830229,14.715,18.38745343,3.672453435,14.35639131,0.878823776,-0.18646831,1,0.097301667,,1.4,54.5637473,54.820833,21.31476754,33.50606546
15,1.6,1.298784577,0,0,0,3.158896783,3.158896783,3.158896783,13.81163987,2.634846236,24.70820735,24.78815597,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.6,71.4,1.298784577,0.1318425,12.6247869,15.696,20.19965904,4.50365904,15.75926012,0.854525808,-0.140591191,1,0.1318425,,1.5,61.88577613,62.14286183,24.78815597,37.35470586
16,1.7,1.632152421,0,0,0,3.251275374,3.251275374,3.251275374,13.92364627,2.701051781,28.28317134,28.36311996,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.7,71.3,1.632152421,0.135650556,12.91936282,16.677,21.96291679,5.285916794,15.14491866,0.879916805,-0.146691409,1,0.135650556,,1.6,71.79402153,72.05110723,28.36311996,43.68798727
17,1.8,1.781871483,0,0,0,2.838473915,2.838473915,2.838473915,12.54100684,2.762752988,31.40423642,31.48418504,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.8,71.2,1.781871483,0.118386,12.76705039,17.658,22.9806907,5.322690702,13.53134044,0.903499824,-0.185084039,1,0.118386,,1.7,81.94354111,82.2006268,31.48418504,50.71644176
18,1.9,1.315326608,0,0,0,3.499870537,3.499870537,3.499870537,12.78874624,2.6639214,35.25254507,35.33249369,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,1.9,71.1,1.315326608,0.14592,12.77747831,18.639,24.27720879,5.638208789,14.69178013,0.865611717,-0.153227329,1,0.14592,,1.8,90.79241375,91.04949945,35.33249369,55.71700576
19,2,0.979274384,0,0,0,4.288475079,4.288475079,4.288475079,12.92381422,2.569860684,39.9679697,40.04791832,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2,71,0.979274384,0.178736364,12.78086266,19.62,25.56172532,5.94172532,15.9700983,0.829606558,-0.128089089,1,0.178736364,,1.9,101.7567983,102.013884,40.04791832,61.96596568
20,2.1,1.193528944,0,0,0,4.274483487,4.274483487,4.274483487,12.92915152,2.630450152,44.66800977,44.74795839,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.1,70.9,1.193528944,0.178090455,12.98913684,20.601,27.27718736,6.676187364,15.1859927,0.852798272,-0.136599388,1,0.178090455,,2,115.1336662,115.3907519,44.74795839,70.64279351
21,2.2,1.46519404,0,0,0,3.833880827,3.833880827,3.833880827,12.11936341,2.714865819,48.88358192,48.96353053,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.2,70.8,1.46519404,0.159677,13.01651633,21.582,28.63633593,7.054335926,13.66221903,0.885096474,-0.164696968,1,0.159677,,2.1,128.3371919,128.5942776,48.96353053,79.63074707
22,2.3,1.209458785,0,0,0,4.0890175,4.0890175,4.0890175,11.68650749,2.666934243,53.37969149,53.4596401,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.3,70.7,1.209458785,0.170243,12.90620102,22.563,29.68426235,7.121262346,13.8935742,0.866706676,-0.160523639,1,0.170243,,2.2,140.0125093,140.269595,53.4596401,86.8099549
23,2.4,1.256817727,0,0,0,4.047067166,4.047067166,4.047067166,11.25286452,2.691111909,57.82967425,57.90962287,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.4,70.6,1.256817727,0.168436818,12.91857507,23.544,31.00458017,7.460580168,13.31834284,0.875942046,-0.171313517,1,0.168436818,,2.3,152.3828197,152.6399054,57.90962287,94.73028253
24,2.5,1.844439332,0,0,0,3.523277181,3.523277181,3.523277181,10.67876761,2.827886301,61.70371985,61.78366847,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.5,70.5,1.844439332,0.146585,13.09170508,24.525,32.7292627,8.2042627,11.58604376,0.9283469,-0.215404165,1,0.146585,,2.4,164.5154799,164.7725656,61.78366847,102.9888971
25,2.6,1.291210217,0,0,0,4.023981587,4.023981587,4.023981587,10.49221248,2.722061518,66.1283187,66.20826731,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.6,70.4,1.291210217,0.167357273,12.91756176,25.506,33.58566058,8.079660576,12.46059538,0.887751044,-0.190668256,1,0.167357273,,2.5,174.8785089,175.1355946,66.20826731,108.9273273
26,2.7,1.625334835,0,0,0,4.41746598,4.41746598,4.41746598,11.23351639,2.772126658,70.98557623,71.06552485,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.7,70.3,1.625334835,0.183657,13.33152531,26.487,35.99511834,9.508118337,12.46650117,0.906992924,-0.179376016,1,0.183657,,2.6,186.727802,186.9848877,71.06552485,115.9193629
27,2.8,2.515553006,0,0,0,4.077209432,4.077209432,4.077209432,10.80986081,2.914331769,75.46870215,75.54865077,0,0,0,0,0,0,0.994097002,3.36,0.083840203,9.621127502,0.98,2.8,70.2,2.515553006,0.169450455,13.66663445,27.468,38.26657646,10.79857646,11.16442441,0.961618181,-0.209385485,1,0.169450455,,2.7,199.6761844,199.9332701,75.54865077,124.3846193
