Reading,Depth,Cone,Friction,Pore 2,Slope x,Slope y
1086,0.811,0.0634,0.0005,0.0286,6.4468,5.8563
1087,0.818,0.0629,0.0005,0.0289,6.4623,5.8935
1088,0.825,0.0628,0.0006,0.0291,6.4589,5.8597
1089,0.833,0.0628,0.0007,0.0294,6.4761,5.8966
1090,0.841,0.0639,0.0006,0.0298,6.4916,5.8694
1091,0.849,0.0638,0.0008,0.0303,6.4828,5.8272
1092,0.856,0.0648,0.0008,0.0308,6.5199,5.8598
1093,0.864,0.0649,0.0008,0.0313,6.4919,5.8414
1094,0.871,0.0650,0.0009,0.0320,6.5200,5.7909
1095,0.879,0.0647,0.0010,0.0326,6.5065,5.8715
1096,0.886,0.0652,0.0010,0.0328,6.5260,5.7900
1097,0.894,0.0659,0.0010,0.0326,6.5416,5.7834
1098,0.901,0.0656,0.0010,0.0325,6.5416,5.8129
1099,0.909,0.0668,0.0010,0.0324,6.5749,5.7754
1100,0.916,0.0670,0.0011,0.0324,6.5819,5.7709
1101,0.924,0.0677,0.0011,0.0318,6.5029,5.7213
1102,0.931,0.0675,0.0011,0.0316,6.5139,5.7171
1103,0.939,0.0676,0.0011,0.0306,6.4816,5.7063
1104,0.939,0.0691,0.0010,0.0309,6.4359,5.6791
1105,0.939,0.0642,0.0008,0.0320,6.4745,5.6081
1123,0.970,0.0772,0.0007,0.0313,6.4550,5.6179
1124,0.977,0.0785,0.0007,0.0313,6.4475,5.5604
1125,0.985,0.0798,0.0007,0.0310,6.4226,5.5826
1126,0.993,0.0813,0.0007,0.0308,6.4590,5.5670
1127,1.001,0.0821,0.0007,0.0302,6.4661,5.5488
1128,1.008,0.0830,0.0006,0.0294,6.4611,5.5193
1129,1.016,0.0837,0.0006,0.0288,6.4603,5.5259
1130,1.023,0.0841,0.0005,0.0282,6.4643,5.5073
1131,1.031,0.0845,0.0006,0.0273,6.4442,5.5314
1132,1.038,0.0843,0.0005,0.0260,6.4290,5.5371
1133,1.046,0.0838,0.0005,0.0247,6.4521,5.5073
1134,1.054,0.0841,0.0005,0.0240,6.4773,5.5040
1135,1.061,0.0833,0.0005,0.0235,6.4820,5.5094
1136,1.068,0.0826,0.0005,0.0229,6.4993,5.4994
1137,1.075,0.0817,0.0006,0.0226,6.4727,5.4729
1138,1.083,0.0807,0.0006,0.0230,6.4973,5.4349
1139,1.091,0.0799,0.0007,0.0235,6.4948,5.4892
1140,1.099,0.0790,0.0007,0.0245,6.4862,5.4628
1141,1.106,0.0778,0.0008,0.0250,6.5133,5.4582
1142,1.114,0.0771,0.0008,0.0259,6.4898,5.4530
1143,1.121,0.0764,0.0010,0.0269,6.5113,5.4626
1144,1.129,0.0772,0.0010,0.0280,6.4975,5.4686
1145,1.136,0.0767,0.0010,0.0292,6.5161,5.4588
1146,1.144,0.0767,0.0011,0.0295,6.5033,5.4493
1147,1.151,0.0775,0.0011,0.0296,6.5175,5.4687
1148,1.160,0.0774,0.0011,0.0307,6.5468,5.4442
1149,1.167,0.0775,0.0012,0.0319,6.5293,5.4661
1233,1.209,0.0945,0.0011,0.0317,6.0940,5.9661
1234,1.216,0.0942,0.0011,0.0324,6.0911,5.9388
1290,1.262,0.0876,0.0012,0.0299,6.1309,5.9711
1291,1.270,0.0866,0.0012,0.0304,6.1408,5.9434
1292,1.278,0.0869,0.0012,0.0316,6.1283,5.9705
1293,1.286,0.0874,0.0011,0.0323,6.1548,5.9615
1294,1.293,0.0862,0.0012,0.0333,6.1621,5.9603
1295,1.301,0.0854,0.0012,0.0342,6.1530,5.9529
1296,1.308,0.0846,0.0012,0.0351,6.1417,5.9508
1297,1.316,0.0842,0.0012,0.0360,6.2075,5.9535
1298,1.323,0.0828,0.0013,0.0368,6.1930,5.9688
1299,1.331,0.0834,0.0013,0.0370,6.1944,5.9628
1300,1.338,0.0838,0.0012,0.0369,6.2014,5.9646
1301,1.347,0.0841,0.0012,0.0361,6.2116,5.9567
1302,1.354,0.0830,0.0012,0.0361,6.2221,5.9204
1303,1.362,0.0815,0.0013,0.0350,6.2167,5.9134
1304,1.369,0.0807,0.0013,0.0360,6.2196,5.9032
1305,1.377,0.0797,0.0013,0.0373,6.1950,5.8733
1306,1.385,0.0796,0.0012,0.0371,6.2014,5.9367
1307,1.392,0.0794,0.0012,0.0371,6.2205,5.8898
1308,1.399,0.0797,0.0012,0.0363,6.2304,5.9458
1309,1.408,0.0797,0.0012,0.0364,6.2031,5.9513
1310,1.415,0.0803,0.0012,0.0365,6.2189,5.9408
1311,1.423,0.0810,0.0011,0.0354,6.2297,5.9258
1312,1.430,0.0820,0.0011,0.0372,6.2351,5.9186
1313,1.438,0.0824,0.0011,0.0373,6.2235,5.9119
1314,1.445,0.0823,0.0012,0.0399,6.2284,5.8722
1315,1.454,0.0833,0.0011,0.0411,6.2100,5.9134
1316,1.461,0.0849,0.0011,0.0417,6.2045,5.9010
1317,1.470,0.0867,0.0010,0.0408,6.2248,5.8760
1318,1.479,0.0873,0.0011,0.0399,6.2215,5.8729
1319,1.488,0.0898,0.0010,0.0395,6.2328,5.8860
1320,1.497,0.0903,0.0012,0.0404,6.2166,5.8897
1321,1.506,0.0932,0.0011,0.0399,6.2218,5.8871
1322,1.515,0.0953,0.0011,0.0407,6.2462,5.8633
1323,1.524,0.1122,0.0011,0.0394,6.2137,5.8464
1324,1.533,0.1033,0.0011,0.0388,6.2186,5.8825
1325,1.542,0.1118,0.0010,0.0369,6.2428,5.8815
1326,1.552,0.1168,0.0011,0.0345,6.2615,5.8029
1327,1.560,0.1215,0.0011,0.0317,6.2832,5.8378
1328,1.569,0.1324,0.0010,0.0269,6.2785,5.8501
1329,1.577,0.1257,0.0011,0.0282,6.2432,5.8287
1330,1.587,0.1293,0.0012,0.0310,6.2394,5.8326
1331,1.596,0.1252,0.0014,0.0333,6.2680,5.8468
1332,1.604,0.1286,0.0015,0.0326,6.2569,5.8535
1333,1.613,0.1292,0.0015,0.0325,6.2795,5.8377
1334,1.622,0.1300,0.0014,0.0299,6.2804,5.8523
1335,1.632,0.1311,0.0014,0.0284,6.2666,5.8315
1336,1.640,0.1327,0.0014,0.0263,6.2977,5.8376
1337,1.650,0.1351,0.0015,0.0283,6.3150,5.8305
1338,1.658,0.1337,0.0016,0.0287,6.3032,5.8282
1339,1.668,0.1359,0.0017,0.0261,6.2956,5.8269
1340,1.677,0.1321,0.0018,0.0305,6.2616,5.7988
1341,1.686,0.1314,0.0019,0.0297,6.2733,5.8018
1342,1.695,0.1331,0.0018,0.0303,6.2946,5.8224
1343,1.704,0.1290,0.0019,0.0337,6.2853,5.8015
1344,1.712,0.1276,0.0019,0.0336,6.2878,5.8307
1345,1.722,0.1235,0.0019,0.0326,6.2893,5.8218
1346,1.732,0.1229,0.0018,0.0330,6.3193,5.8522
1347,1.740,0.1216,0.0018,0.0361,6.3308,5.8045
1348,1.749,0.1195,0.0019,0.0390,6.3595,5.7848
1349,1.758,0.1171,0.0019,0.0401,6.3393,5.8220
1350,1.767,0.1170,0.0018,0.0375,6.3380,5.7595
1351,1.776,0.1140,0.0019,0.0378,6.3233,5.7889
1352,1.785,0.1122,0.0019,0.0399,6.3289,5.7935
1353,1.794,0.1125,0.0017,0.0401,6.3494,5.7666
1354,1.804,0.1123,0.0017,0.0400,6.3327,5.7727
1355,1.812,0.1132,0.0017,0.0382,6.3512,5.7791
1356,1.821,0.1131,0.0017,0.0377,6.3494,5.7852
1357,1.830,0.1152,0.0015,0.0385,6.3362,5.7994
1358,1.839,0.1164,0.0016,0.0414,6.3269,5.7780
1359,1.849,0.1221,0.0016,0.0410,6.3316,5.7220
1360,1.857,0.1278,0.0015,0.0405,6.3575,5.7428
1361,1.867,0.1301,0.0016,0.0431,6.3477,5.7628
1362,1.875,0.1321,0.0017,0.0463,6.3643,5.7304
1363,1.885,0.1349,0.0016,0.0480,6.3817,5.7183
1364,1.894,0.1374,0.0016,0.0489,6.3993,5.7343
1365,1.902,0.1388,0.0016,0.0501,6.4113,5.7674
1366,1.912,0.1409,0.0015,0.0501,6.4045,5.7182
1367,1.920,0.1405,0.0014,0.0462,6.4045,5.6957
1368,1.929,0.1402,0.0014,0.0458,6.4282,5.6745
1369,1.938,0.1410,0.0013,0.0478,6.4330,5.6669
1370,1.948,0.1437,0.0014,0.0484,6.4403,5.6646
1371,1.956,0.1475,0.0014,0.0468,6.4510,5.7253
1372,1.966,0.1510,0.0014,0.0496,6.4270,5.7118
1373,1.974,0.1556,0.0014,0.0492,6.4451,5.6529
1374,1.984,0.1598,0.0014,0.0500,6.4396,5.6558
1375,1.993,0.1644,0.0015,0.0505,6.4284,5.6450
1376,2.004,0.1748,0.0015,0.0520,6.4650,5.6651
1377,2.013,0.1842,0.0015,0.0508,6.4508,5.6666
1378,2.023,0.1866,0.0015,0.0450,6.4586,5.6391
